Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten
78,,,,
80,,,,
73,,,,
84,22.0,False,0.22,18.48
74,22.0,,0.22,16.28
71,22.0,,0.22,15.62
74,22.0,,0.22,16.28
74,22.0,,0.22,16.28
74,22.0,,0.22,16.28
74,22.0,,0.22,16.28
84,25.0,False,0.25,21.0
95,25.0,,0.25,23.75
99,25.0,,0.25,24.75
100,25.0,,0.25,25.0
84,25.0,,0.25,21.0
83,25.0,,0.25,20.75
85,25.0,,0.25,21.25
89,23.0,False,0.23,20.470000000000002
83,23.0,,0.23,19.09
79,23.0,,0.23,18.17
75,23.0,,0.23,17.25
74,23.0,,0.23,17.02
74,23.0,,0.23,17.02
72,23.0,,0.23,16.560000000000002
85,29.0,False,0.29,24.65
82,29.0,,0.29,23.779999999999998
82,29.0,,0.29,23.779999999999998
82,29.0,,0.29,23.779999999999998
91,29.0,,0.29,26.389999999999997
90,29.0,,0.29,26.099999999999998
92,29.0,,0.29,26.68
19,25.0,False,0.25,4.75
19,25.0,,0.25,4.75
18,25.0,,0.25,4.5
10,25.0,,0.25,2.5
13,25.0,,0.25,3.25
17,25.0,,0.25,4.25
19,25.0,,0.25,4.75
22,37.0,False,0.37,8.14
22,37.0,,0.37,8.14
19,37.0,,0.37,7.03
29,37.0,,0.37,10.73
30,37.0,,0.37,11.1
23,37.0,,0.37,8.51
29,37.0,,0.37,10.73
32,51.0,False,0.51,16.32
29,51.0,,0.51,14.790000000000001
25,51.0,,0.51,12.75
26,51.0,,0.51,13.26
29,51.0,,0.51,14.790000000000001
30,51.0,,0.51,15.3
35,51.0,,0.51,17.85
44,100.0,False,1.0,44.0
37,100.0,,1.0,37.0
37,100.0,,1.0,37.0
38,100.0,,1.0,38.0
55,100.0,,1.0,55.0
100,100.0,,1.0,100.0
100,100.0,,1.0,100.0
74,98.0,False,0.98,72.52
99,98.0,,0.98,97.02
100,98.0,,0.98,98.0
57,98.0,,0.98,55.86
47,98.0,,0.98,46.06
48,98.0,,0.98,47.04
50,98.0,,0.98,49.0
57,59.0,False,0.59,33.629999999999995
45,59.0,,0.59,26.549999999999997
42,59.0,,0.59,24.779999999999998
44,59.0,,0.59,25.959999999999997
42,59.0,,0.59,24.779999999999998
40,59.0,,0.59,23.599999999999998
43,59.0,,0.59,25.369999999999997
45,45.0,False,0.45,20.25
42,45.0,,0.45,18.900000000000002
40,45.0,,0.45,18.0
32,45.0,,0.45,14.4
28,45.0,,0.45,12.6
30,45.0,,0.45,13.5
32,45.0,,0.45,14.4
30,30.0,False,0.3,9.0
28,30.0,,0.3,8.4
26,30.0,,0.3,7.8
23,30.0,,0.3,6.8999999999999995
21,30.0,,0.3,6.3
22,30.0,,0.3,6.6
27,30.0,,0.3,8.1
29,28.0,False,0.28,8.120000000000001
26,28.0,,0.28,7.280000000000001
