Date,Golden State Warriors,Rakuten,United Airlines,JPMorgan Chase,GoldenStateWarriors_adjusted,Rakuten_adjusted,UnitedAirlines_adjusted,JPMorganChase_adjusted,Article_Count,Rakuten_Count,UnitedAirlines_Count,Chase_Count,Win,Abs_Point_Difference,Hi_Points_Player,Hi_Points_Value,Hi_Rebounds_Player,Hi_Rebounds_Value,Hi_Assists_Player,Hi_Assists_Value,Curry_Hi_Points,Curry_Hi_Points_Value
2022-10-18,4.62,21.32,58.56,23.31,21.0,23.66,57.95,24.42,0.0,0.0,0.0,0.0,1.0,14.0,Curry,33.0,Wiseman,7.0,Curry,7.0,1.0,33.0
2022-10-19,21.0,23.66,57.95,24.42,4.83,21.58,56.12,27.01,1.0,0.0,0.0,2.0,,,,,,,,,,
2022-10-20,4.83,21.58,56.12,27.01,5.04,20.8,50.629999999999995,22.2,0.0,0.0,0.0,0.0,,,,,,,,,,
2022-10-21,5.04,20.8,50.629999999999995,22.2,12.39,19.5,45.14,14.06,0.0,0.0,0.0,0.0,0.0,5.0,Curry,34.0,Wiggins,8.0,Green,9.0,1.0,34.0
2022-10-22,12.39,19.5,45.14,14.06,5.13,23.1,45.239999999999995,14.06,0.0,0.0,0.0,0.0,,,,,,,,,,
2022-10-23,5.13,23.1,45.239999999999995,14.06,8.74,24.9,52.779999999999994,21.09,0.0,0.0,0.0,0.0,1.0,5.0,Curry,33.0,Looney,8.0,Looney,6.0,1.0,33.0
2022-10-24,8.74,24.9,52.779999999999994,21.09,4.37,23.7,54.52,22.2,1.0,0.0,0.0,0.0,,,,,,,,,,
2022-10-25,4.37,23.7,54.52,22.2,11.4,25.2,48.72,27.38,0.0,0.0,0.0,0.0,0.0,29.0,Curry,21.0,Green,8.0,Curry,8.0,1.0,21.0
2022-10-26,11.4,25.2,48.72,27.38,3.99,26.4,48.13999999999999,26.27,0.0,0.0,0.0,0.0,,,,,,,,,,
2022-10-27,3.99,26.4,48.13999999999999,26.27,8.17,26.4,47.559999999999995,25.53,1.0,0.0,0.0,0.0,1.0,13.0,Curry,33.0,Wiggins,10.0,Curry,9.0,1.0,33.0
2022-10-28,8.17,26.4,47.559999999999995,25.53,5.13,22.2,41.18,11.1,0.0,0.0,0.0,0.0,,,,,,,,,,
