Date,Golden State Warriors,GoldenStateWarriors_adjusted,Rakuten,Rakuten_adjusted,United Airlines,UnitedAirlines_adjusted,JPMorgan Chase,JPMorganChase_adjusted,Article_Count,Rakuten_Count,UnitedAirlines_Count,Chase_Count,Win,Abs_Point_Difference,Hi_Points_Player,Hi_Points_Value,Hi_Rebounds_Player,Hi_Rebounds_Value,Hi_Assists_Player,Hi_Assists_Value,Curry_Hi_Points,Curry_Hi_Points_Value
2023-10-24,4.95,15.0,18.04,17.6,48.36,45.760000000000005,13.94,13.260000000000002,1.0,0.0,0.0,1.0,0.0,4.0,Curry,27.0,Looney,11.0,Paul,9.0,1.0,27.0
2023-10-25,15.0,3.4499999999999997,17.6,15.62,45.760000000000005,47.32,13.260000000000002,10.54,0.0,0.0,0.0,0.0,,,,,,,,,,
2023-10-26,3.4499999999999997,4.35,15.62,16.28,47.32,45.24,10.54,13.6,0.0,0.0,0.0,0.0,,,,,,,,,,
2023-10-27,4.35,9.9,16.28,16.06,45.24,41.08,13.6,6.800000000000001,0.0,0.0,0.0,0.0,1.0,8.0,Curry,41.0,Looney,12.0,Paul,12.0,1.0,41.0
2023-10-28,9.9,7.22,16.06,19.92,41.08,42.400000000000006,6.800000000000001,6.66,0.0,0.0,0.0,0.0,,,,,,,,,,
2023-10-29,7.22,10.64,19.92,22.08,42.400000000000006,47.7,6.66,15.17,0.0,0.0,0.0,0.0,1.0,11.0,Curry,24.0,Looney,11.0,Paul,7.0,1.0,24.0
2023-10-30,10.64,11.02,22.08,20.64,47.7,45.580000000000005,15.17,15.91,1.0,0.0,0.0,0.0,1.0,28.0,Curry,42.0,Saric,10.0,Green,7.0,1.0,42.0
2023-10-31,11.02,6.65,20.64,3.12,45.580000000000005,40.28,15.91,34.78,1.0,0.0,0.0,0.0,,,,,,,,,,
2023-11-01,6.65,15.2,3.12,3.5999999999999996,40.28,39.22,34.78,30.71,0.0,0.0,0.0,0.0,1.0,1.0,Curry,21.0,Looney,9.0,Green,9.0,1.0,21.0
2023-11-02,15.2,7.6,3.5999999999999996,3.5999999999999996,39.22,37.63,30.71,32.19,1.0,2.0,0.0,0.0,,,,,,,,,,
2023-11-03,7.6,19.0,3.5999999999999996,3.5999999999999996,37.63,34.980000000000004,32.19,23.31,1.0,0.0,0.0,0.0,1.0,2.0,Curry,30.0,Curry,8.0,Paul,13.0,1.0,30.0
2023-11-04,19.0,10.08,3.5999999999999996,4.64,34.980000000000004,38.690000000000005,23.31,18.72,2.0,0.0,0.0,0.0,,,,,,,,,,
