Date,Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
2020-12-22,69,52.0,,0.52,35.88
2020-12-23,72,52.0,,0.52,37.44
2020-12-24,59,52.0,,0.52,30.68
2020-12-25,44,52.0,,0.52,22.880000000000003
2020-12-26,50,52.0,,0.52,26.0
2020-12-27,53,58.0,False,0.58,30.74
2020-12-28,66,58.0,,0.58,38.279999999999994
2020-12-29,75,58.0,,0.58,43.5
2020-12-30,69,58.0,,0.58,40.02
2020-12-31,75,58.0,,0.58,43.5
2021-01-01,61,58.0,,0.58,35.379999999999995
2021-01-02,60,58.0,,0.58,34.8
2021-01-03,53,68.0,False,0.68,36.04
2021-01-04,75,68.0,,0.68,51.00000000000001
2021-01-05,91,68.0,,0.68,61.88
2021-01-06,77,68.0,,0.68,52.36000000000001
2021-01-07,83,68.0,,0.68,56.440000000000005
2021-01-08,63,68.0,,0.68,42.84
2021-01-09,50,68.0,,0.68,34.0
2021-01-10,50,77.0,False,0.77,38.5
2021-01-11,74,77.0,,0.77,56.98
2021-01-12,100,77.0,,0.77,77.0
2021-01-13,95,77.0,,0.77,73.15
2021-01-14,88,77.0,,0.77,67.76
2021-01-15,80,77.0,,0.77,61.6
2021-01-16,50,77.0,,0.77,38.5
2021-01-17,48,68.0,False,0.68,32.64
2021-01-18,63,68.0,,0.68,42.84
2021-01-19,90,68.0,,0.68,61.2
2021-01-20,82,68.0,,0.68,55.760000000000005
2021-01-21,89,68.0,,0.68,60.52
2021-01-22,77,68.0,,0.68,52.36000000000001
2021-01-23,52,68.0,,0.68,35.36
2021-01-24,53,74.0,False,0.74,39.22
2021-01-25,81,74.0,,0.74,59.94
2021-01-26,87,74.0,,0.74,64.38
2021-01-27,93,74.0,,0.74,68.82
2021-01-28,82,74.0,,0.74,60.68
2021-01-29,75,74.0,,0.74,55.5
2021-01-30,53,74.0,,0.74,39.22
2021-01-31,53,74.0,False,0.74,39.22
2021-02-01,88,74.0,,0.74,65.12
2021-02-02,88,74.0,,0.74,65.12
2021-02-03,100,74.0,,0.74,74.0
2021-02-04,86,74.0,,0.74,63.64
2021-02-05,80,74.0,,0.74,59.2
2021-02-06,61,74.0,,0.74,45.14
2021-02-07,53,68.0,False,0.68,36.04
2021-02-08,82,68.0,,0.68,55.760000000000005
2021-02-09,91,68.0,,0.68,61.88
2021-02-10,93,68.0,,0.68,63.24
2021-02-11,83,68.0,,0.68,56.440000000000005
2021-02-12,83,68.0,,0.68,56.440000000000005
2021-02-13,53,68.0,,0.68,36.04
2021-02-14,54,62.0,False,0.62,33.48
2021-02-15,71,62.0,,0.62,44.02
2021-02-16,77,62.0,,0.62,47.74
2021-02-17,92,62.0,,0.62,57.04
2021-02-18,84,62.0,,0.62,52.08
2021-02-19,80,62.0,,0.62,49.6
2021-02-20,56,62.0,,0.62,34.72
2021-02-21,53,71.0,False,0.71,37.629999999999995
2021-02-22,83,71.0,,0.71,58.93
2021-02-23,85,71.0,,0.71,60.349999999999994
2021-02-24,93,71.0,,0.71,66.03
2021-02-25,82,71.0,,0.71,58.22
2021-02-26,75,71.0,,0.71,53.25
2021-02-27,57,71.0,,0.71,40.47
2021-02-28,56,72.0,False,0.72,40.32
2021-03-01,96,72.0,,0.72,69.12
2021-03-02,92,72.0,,0.72,66.24
2021-03-03,94,72.0,,0.72,67.67999999999999
2021-03-04,90,72.0,,0.72,64.8
2021-03-05,81,72.0,,0.72,58.32
2021-03-06,58,72.0,,0.72,41.76
