Date,Golden State Warriors,GoldenStateWarriors_adjusted,Rakuten,Rakuten_adjusted,United Airlines,UnitedAirlines_adjusted,JPMorgan Chase,JPMorganChase_adjusted
2020-12-22,4.8100000000000005,13.0,7.8,6.8999999999999995,31.04,29.76,27.839999999999996,26.97
2020-12-23,13.0,3.25,6.8999999999999995,6.3,29.76,24.0,26.97,18.27
2020-12-24,3.25,9.36,6.3,6.6,24.0,19.84,18.27,8.12
2020-12-25,9.36,4.8100000000000005,6.6,8.1,19.84,25.28,8.12,8.41
2020-12-26,4.8100000000000005,3.08,8.1,8.120000000000001,25.28,23.7,8.41,10.85
2020-12-27,3.08,5.83,8.120000000000001,7.280000000000001,23.7,27.3,10.85,26.97
2020-12-28,5.83,2.86,7.280000000000001,7.000000000000001,27.3,28.5,26.97,24.49
2020-12-29,2.86,5.06,7.000000000000001,6.44,28.5,24.9,24.49,25.11
2020-12-30,5.06,2.42,6.44,7.000000000000001,24.9,22.8,25.11,25.73
2020-12-31,2.42,2.97,7.000000000000001,25.480000000000004,22.8,21.3,25.73,15.81
2021-01-01,2.97,6.82,25.480000000000004,27.72,21.3,26.4,15.81,13.33
2021-01-02,6.82,3.5999999999999996,27.72,23.0,26.4,27.6,13.33,14.35
2021-01-03,3.5999999999999996,15.0,23.0,20.93,27.6,28.2,14.35,28.0
2021-01-04,15.0,12.0,20.93,17.02,28.2,29.1,28.0,30.1
2021-01-05,12.0,4.2,17.02,16.1,29.1,25.5,30.1,24.15
2021-01-06,4.2,8.7,16.1,14.95,25.5,27.3,24.15,23.45
2021-01-07,8.7,3.5999999999999996,14.95,17.25,27.3,26.1,23.45,27.65
2021-01-08,3.5999999999999996,11.25,17.25,18.17,26.1,21.9,27.65,15.4
2021-01-09,11.25,4.2,18.17,24.360000000000003,21.9,23.78,15.4,10.8
2021-01-10,4.2,7.44,24.360000000000003,21.28,23.78,23.78,10.8,22.68
2021-01-11,7.44,3.12,21.28,23.24,23.78,25.52,22.68,32.4
2021-01-12,3.12,7.68,23.24,22.4,25.52,26.68,32.4,30.24
2021-01-13,7.68,3.5999999999999996,22.4,22.96,26.68,25.52,30.24,28.44
2021-01-14,3.5999999999999996,6.12,22.96,20.44,25.52,25.229999999999997,28.44,36.0
2021-01-15,6.12,2.88,20.44,21.28,25.229999999999997,21.459999999999997,36.0,15.48
2021-01-16,2.88,2.6,21.28,19.55,21.459999999999997,20.25,15.48,16.32
2021-01-17,2.6,2.6,19.55,19.55,20.25,21.87,16.32,19.380000000000003
2021-01-18,2.6,10.14,19.55,17.25,21.87,22.950000000000003,19.380000000000003,27.200000000000003
2021-01-19,10.14,3.51,17.25,15.18,22.950000000000003,21.6,27.200000000000003,28.9
2021-01-20,3.51,8.84,15.18,16.1,21.6,24.3,28.9,25.840000000000003
2021-01-21,8.84,8.19,16.1,16.560000000000002,24.3,22.950000000000003,25.840000000000003,26.180000000000003
2021-01-22,8.19,3.77,16.560000000000002,15.87,22.950000000000003,19.98,26.180000000000003,11.9
2021-01-23,3.77,6.0,15.87,17.25,19.98,24.49,11.9,8.51
2021-01-24,6.0,2.52,17.25,18.4,24.49,27.28,8.51,32.93
2021-01-25,2.52,5.88,18.4,16.330000000000002,27.28,30.38,32.93,32.19
2021-01-26,5.88,3.48,16.330000000000002,14.95,30.38,31.0,32.19,31.08
2021-01-27,3.48,7.8,14.95,17.48,31.0,29.76,31.08,27.75
2021-01-28,7.8,5.88,17.48,15.87,29.76,27.59,27.75,29.97
2021-01-29,5.88,3.24,15.87,17.02,27.59,28.52,29.97,19.98
2021-01-30,3.24,6.05,17.02,19.55,28.52,30.03,19.98,13.6
2021-01-31,6.05,3.08,19.55,17.71,30.03,15.84,13.6,31.62
2021-02-01,3.08,3.52,17.71,15.41,15.84,16.830000000000002,31.62,30.6
2021-02-02,3.52,8.69,15.41,17.02,16.830000000000002,16.830000000000002,30.6,26.180000000000003
2021-02-03,8.69,3.63,17.02,16.1,16.830000000000002,16.17,26.180000000000003,28.22
2021-02-04,3.63,8.58,16.1,17.48,16.17,15.18,28.22,24.14
2021-02-05,8.58,4.51,17.48,16.560000000000002,15.18,13.86,24.14,18.02
2021-02-06,4.51,12.0,16.560000000000002,14.28,13.86,14.19,18.02,16.17
2021-02-07,12.0,3.96,14.28,13.86,14.19,15.18,16.17,26.4
2021-02-08,3.96,7.68,13.86,13.86,15.18,16.5,26.4,26.4
2021-02-09,7.68,8.04,13.86,14.49,16.5,16.830000000000002,26.4,22.44
2021-02-10,8.04,3.96,14.49,14.49,16.830000000000002,16.17,22.44,21.78
2021-02-11,3.96,9.48,14.49,13.86,16.17,16.17,21.78,33.0
2021-02-12,9.48,6.96,13.86,16.169999999999998,16.17,16.830000000000002,33.0,16.17
