Title,Date,Excerpt,Rakuten_Title,Rakuten_Description,Rakuten_Count,UnitedAirlines_Title,UnitedAirlines_Description,UnitedAirlines_Count,Chase_Title,Chase_Description,Chase_Count,KaiserPermanente_Title,KaiserPermanente_Description,KaiserPermanente_Count,Adobe_Title,Adobe_Description,Adobe_Count,Powered_By,Presented_By,Sponsors_List,Major_Sponsor,Other_Sponsor
Warriors Postseason Picture: Win and You're In,2025-04-12 15:10:31,"The Warriors will host the Los Angeles Clippers at Chase Center on Sunday for their regular season finale, seeking a win to guarantee a top-six playoff spot and avoid the league's Play-In Tournament.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Defeat Trail Blazers, Remain in Sixth Place in Western Conference",2025-04-12 04:22:00,"The Golden State Warriors defeated the Portland Trail Blazers 103-86 at Moda Center on Friday night. With the win, the Warriors stay put in sixth place heading into their final game of the season.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Postseason Picture: Seeking to Secure Playoff Spot,2025-04-11 18:23:43,"The Warriors are in the final month of the 2024-25 NBA regular season, with the Play-In Tournament taking place from April 15-18 and the Playoffs tipping off on April 19. ",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Stephen Curry, Brandin Podziemski Combine for 65 Points as Dubs Outduel Lakers",2025-04-04 04:41:00,"In a game that could have a major impact on the Western Conference playoff seedings, the Golden State Warriors were able to hold off the Los Angeles Lakers 123-116 on Thursday night at Crypto.com Arena.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Gary Payton II Injury Update - 4/3/25,2025-04-03 18:26:00,"Golden State Warriors guard Gary Payton II, who suffered a partial tear of a ligament in his left thumb during Golden State’s game at Miami on March 25, is making good progress.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Draymond Green Named Western Conference Defensive Player of the Month,2025-04-01 19:31:34,"Golden State Warriors forward Draymond Green has been named the Western Conference Defensive Player of the Month, the NBA announced Tuesday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Jonathan Kuminga Injury Update – 3/31/25,2025-04-01 00:51:40,"Warriors forward Jonathan Kuminga,  who exited last night’s game against the Spurs with 6:59 remaining in the second quarter, was evaluated today in San Antonio and is undergoing further evaluation and monitoring. He is questionable for Tuesday night’s game at Memphis due to a pelvic contusion.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors’ Kirk Lacob Named to Sports Business Journal’s Forty Under 40 List,2025-03-31 18:36:07,"Golden State Warriors Executive Vice President, Basketball Operations and Vice President, GSW Ventures Kirk Lacob has been named to Sports Business Journal’s 2025 Forty Under 40 list, it was announced Monday.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Gary Payton II Injury Update – 3/27/25,2025-03-27 20:47:24,"Golden State Warriors guard Gary Payton II, who has averaged 12.0 points per game over the last seven games, has suffered a partial tear of a ligament in his left thumb.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Drop Second Consecutive Game, Fall to Heat on Tuesday Night",2025-03-26 01:55:00,The Golden State Warriors fell 112-86 against the Miami Heat on Tuesday night Kaseya Center. The Heat scored the game's first points and never trailed for the remainder of the night.,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Sign Forward Kevin Knox II to Contract,2025-03-23 18:16:38,,False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Stephen Curry Injury Update – 3/21/25,2025-03-21 17:12:54,"Warriors guard Stephen Curry, who exited Thursday's game against the Toronto Raptors after falling to the floor, underwent an MRI Thursday night. The MRI indicated that Curry suffered a pelvic contusion, but no structural damage.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
Warriors Fall to Nuggets at Home,2025-03-18 04:44:00,"The Warriors seven-game winning streak was snapped on Monday night, as the Golden State Warriors lost 114-105 against the Denver Nuggets at Chase Center.",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Guard Stephen Curry Becomes First Player In NBA History To Hit 4,000 Three-Point Field Goals",2025-03-14 03:51:00,"Golden State Warriors guard Stephen Curry hit his 4,000th career regular season 3-point field goal with 8:19 remaining in the third quarter of tonight’s game against the Sacramento Kings, becoming the first player in NBA history to hit 4,000 career threes. ",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
"Dubs By the Numbers: Stephen Curry First to 4,000 Career 3-Pointers",2025-03-14 03:32:05,"Already the all-time leader in made 3-pointers, Stephen Curry became the first player in NBA history to eclipse 4,000 career threes against the Sacramento Kings at Chase Center on Thursday. ",False,False,0,False,False,0,False,True,1,False,False,0,False,False,0,False,False,[],[],[]
"Warriors Guard Stephen Curry Scores 25,000th Career Point",2025-03-09 04:27:00,"Golden State Warriors guard Stephen Curry scored his 25,000th career point in the third quarter of tonight’s game against the Detroit Pistons, becoming the 10th player in NBA history to achieve the feat with a single franchise and the 26th player overall to surpass 25,000 points.",False,False,0,False,False,0,False,False,0,False,False,0,False,False,0,False,False,[],[],[]
