Date,Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors,GoldenStateWarriors_adjusted
2020-12-22,37,13.0,,0.13,4.8100000000000005,13.0
2020-12-23,100,13.0,,0.13,13.0,3.25
2020-12-24,25,13.0,,0.13,3.25,9.36
2020-12-25,72,13.0,,0.13,9.36,4.8100000000000005
2020-12-26,37,13.0,,0.13,4.8100000000000005,3.08
2020-12-27,28,11.0,False,0.11,3.08,5.83
2020-12-28,53,11.0,,0.11,5.83,2.86
2020-12-29,26,11.0,,0.11,2.86,5.06
2020-12-30,46,11.0,,0.11,5.06,2.42
2020-12-31,22,11.0,,0.11,2.42,2.97
2021-01-01,27,11.0,,0.11,2.97,6.82
2021-01-02,62,11.0,,0.11,6.82,3.5999999999999996
2021-01-03,24,15.0,False,0.15,3.5999999999999996,15.0
2021-01-04,100,15.0,,0.15,15.0,12.0
2021-01-05,80,15.0,,0.15,12.0,4.2
2021-01-06,28,15.0,,0.15,4.2,8.7
2021-01-07,58,15.0,,0.15,8.7,3.5999999999999996
2021-01-08,24,15.0,,0.15,3.5999999999999996,11.25
2021-01-09,75,15.0,,0.15,11.25,4.2
2021-01-10,35,12.0,False,0.12,4.2,7.44
2021-01-11,62,12.0,,0.12,7.44,3.12
2021-01-12,26,12.0,,0.12,3.12,7.68
2021-01-13,64,12.0,,0.12,7.68,3.5999999999999996
2021-01-14,30,12.0,,0.12,3.5999999999999996,6.12
2021-01-15,51,12.0,,0.12,6.12,2.88
2021-01-16,24,12.0,,0.12,2.88,2.6
2021-01-17,20,13.0,False,0.13,2.6,2.6
2021-01-18,20,13.0,,0.13,2.6,10.14
2021-01-19,78,13.0,,0.13,10.14,3.51
2021-01-20,27,13.0,,0.13,3.51,8.84
2021-01-21,68,13.0,,0.13,8.84,8.19
2021-01-22,63,13.0,,0.13,8.19,3.77
2021-01-23,29,13.0,,0.13,3.77,6.0
2021-01-24,50,12.0,False,0.12,6.0,2.52
2021-01-25,21,12.0,,0.12,2.52,5.88
2021-01-26,49,12.0,,0.12,5.88,3.48
2021-01-27,29,12.0,,0.12,3.48,7.8
2021-01-28,65,12.0,,0.12,7.8,5.88
2021-01-29,49,12.0,,0.12,5.88,3.24
2021-01-30,27,12.0,,0.12,3.24,6.05
2021-01-31,55,11.0,False,0.11,6.05,3.08
2021-02-01,28,11.0,,0.11,3.08,3.52
2021-02-02,32,11.0,,0.11,3.52,8.69
2021-02-03,79,11.0,,0.11,8.69,3.63
2021-02-04,33,11.0,,0.11,3.63,8.58
2021-02-05,78,11.0,,0.11,8.58,4.51
2021-02-06,41,11.0,,0.11,4.51,12.0
2021-02-07,100,12.0,False,0.12,12.0,3.96
2021-02-08,33,12.0,,0.12,3.96,7.68
2021-02-09,64,12.0,,0.12,7.68,8.04
2021-02-10,67,12.0,,0.12,8.04,3.96
2021-02-11,33,12.0,,0.12,3.96,9.48
2021-02-12,79,12.0,,0.12,9.48,6.96
2021-02-13,58,12.0,,0.12,6.96,12.87
2021-02-14,99,13.0,False,0.13,12.87,4.94
2021-02-15,38,13.0,,0.13,4.94,9.1
2021-02-16,70,13.0,,0.13,9.1,4.94
2021-02-17,38,13.0,,0.13,4.94,11.31
2021-02-18,87,13.0,,0.13,11.31,5.59
2021-02-19,43,13.0,,0.13,5.59,8.84
2021-02-20,68,13.0,,0.13,8.84,10.08
2021-02-21,84,12.0,False,0.12,10.08,3.36
2021-02-22,28,12.0,,0.12,3.36,4.56
2021-02-23,38,12.0,,0.12,4.56,7.92
2021-02-24,66,12.0,,0.12,7.92,8.04
2021-02-25,67,12.0,,0.12,8.04,4.4399999999999995
2021-02-26,37,12.0,,0.12,4.4399999999999995,10.32
2021-02-27,86,12.0,,0.12,10.32,4.7
2021-02-28,47,10.0,False,0.1,4.7,10.0
2021-03-01,100,10.0,,0.1,10.0,4.0
2021-03-02,40,10.0,,0.1,4.0,4.800000000000001
2021-03-03,48,10.0,,0.1,4.800000000000001,9.0
2021-03-04,90,10.0,,0.1,9.0,6.300000000000001
2021-03-05,63,10.0,,0.1,6.300000000000001,3.3000000000000003
2021-03-06,33,10.0,,0.1,3.3000000000000003,1.74
2021-03-07,29,6.0,False,0.06,1.74,2.1
2021-03-08,35,6.0,,0.06,2.1,1.92
2021-03-09,32,6.0,,0.06,1.92,2.04
2021-03-10,34,6.0,,0.06,2.04,2.4
2021-03-11,40,6.0,,0.06,2.4,5.279999999999999
2021-03-12,88,6.0,,0.06,5.279999999999999,2.46
2021-03-13,41,6.0,,0.06,2.46,7.4
2021-03-14,74,10.0,False,0.1,7.4,4.6000000000000005
2021-03-15,46,10.0,,0.1,4.6000000000000005,7.6
2021-03-16,76,10.0,,0.1,7.6,4.1000000000000005
2021-03-17,41,10.0,,0.1,4.1000000000000005,7.800000000000001
2021-03-18,78,10.0,,0.1,7.800000000000001,4.9
2021-03-19,49,10.0,,0.1,4.9,9.7
2021-03-20,97,10.0,,0.1,9.7,6.6000000000000005
2021-03-21,66,10.0,False,0.1,6.6000000000000005,3.7
2021-03-22,37,10.0,,0.1,3.7,4.5
2021-03-23,45,10.0,,0.1,4.5,8.4
2021-03-24,84,10.0,,0.1,8.4,7.2
2021-03-25,72,10.0,,0.1,7.2,7.7
