Date,JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
2020-12-22,96,29.0,,0.29,27.839999999999996
2020-12-23,93,29.0,,0.29,26.97
2020-12-24,63,29.0,,0.29,18.27
2020-12-25,28,29.0,,0.29,8.12
2020-12-26,29,29.0,,0.29,8.41
2020-12-27,35,31.0,False,0.31,10.85
2020-12-28,87,31.0,,0.31,26.97
2020-12-29,79,31.0,,0.31,24.49
2020-12-30,81,31.0,,0.31,25.11
2020-12-31,83,31.0,,0.31,25.73
2021-01-01,51,31.0,,0.31,15.81
2021-01-02,43,31.0,,0.31,13.33
2021-01-03,41,35.0,False,0.35,14.35
2021-01-04,80,35.0,,0.35,28.0
2021-01-05,86,35.0,,0.35,30.099999999999998
2021-01-06,69,35.0,,0.35,24.15
2021-01-07,67,35.0,,0.35,23.45
2021-01-08,79,35.0,,0.35,27.65
2021-01-09,44,35.0,,0.35,15.399999999999999
2021-01-10,30,36.0,False,0.36,10.799999999999999
2021-01-11,63,36.0,,0.36,22.68
2021-01-12,90,36.0,,0.36,32.4
2021-01-13,84,36.0,,0.36,30.24
2021-01-14,79,36.0,,0.36,28.439999999999998
2021-01-15,100,36.0,,0.36,36.0
2021-01-16,43,36.0,,0.36,15.479999999999999
2021-01-17,48,34.0,False,0.34,16.32
2021-01-18,57,34.0,,0.34,19.380000000000003
2021-01-19,80,34.0,,0.34,27.200000000000003
2021-01-20,85,34.0,,0.34,28.900000000000002
2021-01-21,76,34.0,,0.34,25.840000000000003
2021-01-22,77,34.0,,0.34,26.180000000000003
2021-01-23,35,34.0,,0.34,11.9
2021-01-24,23,37.0,False,0.37,8.51
2021-01-25,89,37.0,,0.37,32.93
2021-01-26,87,37.0,,0.37,32.19
2021-01-27,84,37.0,,0.37,31.08
2021-01-28,75,37.0,,0.37,27.75
2021-01-29,81,37.0,,0.37,29.97
2021-01-30,54,37.0,,0.37,19.98
2021-01-31,40,34.0,False,0.34,13.600000000000001
2021-02-01,93,34.0,,0.34,31.62
2021-02-02,90,34.0,,0.34,30.6
2021-02-03,77,34.0,,0.34,26.180000000000003
2021-02-04,83,34.0,,0.34,28.220000000000002
2021-02-05,71,34.0,,0.34,24.14
2021-02-06,53,34.0,,0.34,18.02
2021-02-07,49,33.0,False,0.33,16.17
2021-02-08,80,33.0,,0.33,26.400000000000002
2021-02-09,80,33.0,,0.33,26.400000000000002
2021-02-10,68,33.0,,0.33,22.44
2021-02-11,66,33.0,,0.33,21.78
2021-02-12,100,33.0,,0.33,33.0
2021-02-13,49,33.0,,0.33,16.17
2021-02-14,42,33.0,False,0.33,13.860000000000001
2021-02-15,56,33.0,,0.33,18.48
2021-02-16,89,33.0,,0.33,29.37
2021-02-17,77,33.0,,0.33,25.41
2021-02-18,74,33.0,,0.33,24.42
2021-02-19,86,33.0,,0.33,28.380000000000003
2021-02-20,75,33.0,,0.33,24.75
2021-02-21,45,35.0,False,0.35,15.749999999999998
2021-02-22,81,35.0,,0.35,28.349999999999998
2021-02-23,86,35.0,,0.35,30.099999999999998
2021-02-24,98,35.0,,0.35,34.3
2021-02-25,76,35.0,,0.35,26.599999999999998
2021-02-26,82,35.0,,0.35,28.7
2021-02-27,43,35.0,,0.35,15.049999999999999
2021-02-28,36,35.0,False,0.35,12.6
2021-03-01,91,35.0,,0.35,31.849999999999998
2021-03-02,100,35.0,,0.35,35.0
2021-03-03,94,35.0,,0.35,32.9
2021-03-04,76,35.0,,0.35,26.599999999999998
2021-03-05,69,35.0,,0.35,24.15
2021-03-06,39,35.0,,0.35,13.649999999999999
2021-03-07,35,33.0,False,0.33,11.55
2021-03-08,82,33.0,,0.33,27.060000000000002
2021-03-09,79,33.0,,0.33,26.07
2021-03-10,83,33.0,,0.33,27.39
2021-03-11,65,33.0,,0.33,21.45
2021-03-12,66,33.0,,0.33,21.78
2021-03-13,47,33.0,,0.33,15.510000000000002
2021-03-14,32,34.0,False,0.34,10.88
2021-03-15,77,34.0,,0.34,26.180000000000003
2021-03-16,77,34.0,,0.34,26.180000000000003
2021-03-17,78,34.0,,0.34,26.520000000000003
2021-03-18,78,34.0,,0.34,26.520000000000003
2021-03-19,93,34.0,,0.34,31.62
2021-03-20,30,34.0,,0.34,10.200000000000001
2021-03-21,25,34.0,False,0.34,8.5
2021-03-22,80,34.0,,0.34,27.200000000000003
2021-03-23,63,34.0,,0.34,21.42
2021-03-24,86,34.0,,0.34,29.240000000000002
2021-03-25,72,34.0,,0.34,24.48
2021-03-26,78,34.0,,0.34,26.520000000000003
2021-03-27,40,34.0,,0.34,13.600000000000001
2021-03-28,32,32.0,False,0.32,10.24
2021-03-29,76,32.0,,0.32,24.32
2021-03-30,78,32.0,,0.32,24.96
2021-03-31,75,32.0,,0.32,24.0
2021-04-01,77,32.0,,0.32,24.64
2021-04-02,67,32.0,,0.32,21.44
