Date,Kaiser Permanente_unscaled,Kaiser Permanente_monthly,isPartial,scale,Kaiser Permanente
2020-12-22,88,49,,0.49,43.12
2020-12-23,81,49,,0.49,39.69
2020-12-24,67,49,,0.49,32.83
2020-12-25,37,49,,0.49,18.13
2020-12-26,49,49,,0.49,24.009999999999998
2020-12-27,46,61,FALSE,0.61,28.06
2020-12-28,97,61,,0.61,59.17
2020-12-29,98,61,,0.61,59.78
2020-12-30,92,61,,0.61,56.12
2020-12-31,81,61,,0.61,49.41
2021-01-01,52,61,,0.61,31.72
2021-01-02,57,61,,0.61,34.769999999999996
2021-01-03,55,71,FALSE,0.71,39.05
2021-01-04,94,71,,0.71,66.74
2021-01-05,100,71,,0.71,71
2021-01-06,81,71,,0.71,57.51
2021-01-07,80,71,,0.71,56.8
2021-01-08,82,71,,0.71,58.22
2021-01-09,57,71,,0.71,40.47
2021-01-10,43,71,FALSE,0.71,30.529999999999998
2021-01-11,85,71,,0.71,60.349999999999994
2021-01-12,93,71,,0.71,66.03
2021-01-13,94,71,,0.71,66.74
2021-01-14,91,71,,0.71,64.61
2021-01-15,84,71,,0.71,59.64
2021-01-16,64,71,,0.71,45.44
2021-01-17,45,68,FALSE,0.68,30.6
2021-01-18,72,68,,0.68,48.96
2021-01-19,96,68,,0.68,65.28
2021-01-20,83,68,,0.68,56.440000000000005
2021-01-21,82,68,,0.68,55.760000000000005
2021-01-22,81,68,,0.68,55.080000000000005
2021-01-23,59,68,,0.68,40.120000000000005
2021-01-24,44,66,FALSE,0.66,29.040000000000003
2021-01-25,82,66,,0.66,54.120000000000005
2021-01-26,86,66,,0.66,56.760000000000005
2021-01-27,79,66,,0.66,52.14
2021-01-28,77,66,,0.66,50.82
2021-01-29,77,66,,0.66,50.82
2021-01-30,53,66,,0.66,34.980000000000004
2021-01-31,43,61,FALSE,0.61,26.23
2021-02-01,91,61,,0.61,55.51
2021-02-02,100,61,,0.61,61
2021-02-03,96,61,,0.61,58.56
2021-02-04,88,61,,0.61,53.68
2021-02-05,87,61,,0.61,53.07
2021-02-06,58,61,,0.61,35.38
2021-02-07,45,57,FALSE,0.57,25.65
2021-02-08,83,57,,0.57,47.309999999999995
2021-02-09,91,57,,0.57,51.87
2021-02-10,96,57,,0.57,54.72
2021-02-11,84,57,,0.57,47.879999999999995
2021-02-12,76,57,,0.57,43.31999999999999
2021-02-13,55,57,,0.57,31.349999999999998
2021-02-14,40,57,FALSE,0.57,22.799999999999997
2021-02-15,79,57,,0.57,45.029999999999994
2021-02-16,94,57,,0.57,53.58
2021-02-17,87,57,,0.57,49.589999999999996
2021-02-18,93,57,,0.57,53.01
2021-02-19,83,57,,0.57,47.309999999999995
2021-02-20,60,57,,0.57,34.199999999999996
2021-02-21,51,62,FALSE,0.62,31.62
2021-02-22,95,62,,0.62,58.9
2021-02-23,95,62,,0.62,58.9
2021-02-24,90,62,,0.62,55.8
2021-02-25,92,62,,0.62,57.04
2021-02-26,91,62,,0.62,56.42
2021-02-27,64,62,,0.62,39.68
2021-02-28,49,66,FALSE,0.66,32.34
2021-03-01,91,66,,0.66,60.06
2021-03-02,100,66,,0.66,66
2021-03-03,96,66,,0.66,63.36
2021-03-04,92,66,,0.66,60.720000000000006
2021-03-05,88,66,,0.66,58.080000000000005
2021-03-06,65,66,,0.66,42.9
2021-03-07,47,70,FALSE,0.7,32.9
2021-03-08,92,70,,0.7,64.39999999999999
2021-03-09,99,70,,0.7,69.3
2021-03-10,97,70,,0.7,67.89999999999999
2021-03-11,91,70,,0.7,63.699999999999996
2021-03-12,91,70,,0.7,63.699999999999996
2021-03-13,65,70,,0.7,45.5
2021-03-14,46,60,FALSE,0.6,27.599999999999998
2021-03-15,89,60,,0.6,53.4
2021-03-16,94,60,,0.6,56.4
2021-03-17,86,60,,0.6,51.6
2021-03-18,91,60,,0.6,54.6
2021-03-19,92,60,,0.6,55.199999999999996
2021-03-20,66,60,,0.6,39.6
2021-03-21,52,67,FALSE,0.67,34.84
2021-03-22,95,67,,0.67,63.650000000000006
2021-03-23,100,67,,0.67,67
2021-03-24,92,67,,0.67,61.64
2021-03-25,95,67,,0.67,63.650000000000006
2021-03-26,88,67,,0.67,58.96
2021-03-27,60,67,,0.67,40.2
2021-03-28,49,69,FALSE,0.69,33.809999999999995
2021-03-29,100,69,,0.69,69
2021-03-30,99,69,,0.69,68.30999999999999
2021-03-31,99,69,,0.69,68.30999999999999
2021-04-01,100,69,,0.69,69
2021-04-02,92,69,,0.69,63.48
2021-04-03,66,69,,0.69,45.54
2021-04-04,49,68,FALSE,0.68,33.32
2021-04-05,100,68,,0.68,68
2021-04-06,97,68,,0.68,65.96000000000001
2021-04-07,93,68,,0.68,63.24
2021-04-08,89,68,,0.68,60.52
2021-04-09,86,68,,0.68,58.480000000000004
2021-04-10,54,68,,0.68,36.720000000000006
2021-04-11,46,69,FALSE,0.69,31.74
2021-04-12,95,69,,0.69,65.55
2021-04-13,98,69,,0.69,67.61999999999999
2021-04-14,92,69,,0.69,63.48
2021-04-15,91,69,,0.69,62.78999999999999
2021-04-16,86,69,,0.69,59.339999999999996
2021-04-17,57,69,,0.69,39.33
2021-04-18,45,63,FALSE,0.63,28.35
2021-04-19,93,63,,0.63,58.59
2021-04-20,90,63,,0.63,56.7
2021-04-21,85,63,,0.63,53.55
2021-04-22,92,63,,0.63,57.96
2021-04-23,82,63,,0.63,51.660000000000004
2021-04-24,54,63,,0.63,34.02
2021-04-25,42,60,FALSE,0.6,25.2
2021-04-26,88,60,,0.6,52.8
2021-04-27,91,60,,0.6,54.6
2021-04-28,90,60,,0.6,54
2021-04-29,75,60,,0.6,45
2021-04-30,82,60,,0.6,49.199999999999996
2021-05-01,61,60,,0.6,36.6
2021-05-02,49,61,FALSE,0.61,29.89
2021-05-03,99,61,,0.61,60.39
2021-05-04,98,61,,0.61,59.78
2021-05-05,90,61,,0.61,54.9
2021-05-06,84,61,,0.61,51.24
2021-05-07,85,61,,0.61,51.85
2021-05-08,59,61,,0.61,35.99
2021-05-09,41,61,FALSE,0.61,25.009999999999998
2021-05-10,88,61,,0.61,53.68
2021-05-11,100,61,,0.61,61
2021-05-12,89,61,,0.61,54.29
2021-05-13,92,61,,0.61,56.12
2021-05-14,89,61,,0.61,54.29
2021-05-15,63,61,,0.61,38.43
2021-05-16,47,59,FALSE,0.59,27.729999999999997
2021-05-17,99,59,,0.59,58.41
2021-05-18,93,59,,0.59,54.87
2021-05-19,94,59,,0.59,55.459999999999994
2021-05-20,86,59,,0.59,50.739999999999995
2021-05-21,83,59,,0.59,48.97
2021-05-22,51,59,,0.59,30.09
2021-05-23,47,58,FALSE,0.58,27.259999999999998
2021-05-24,96,58,,0.58,55.67999999999999
2021-05-25,90,58,,0.58,52.199999999999996
2021-05-26,83,58,,0.58,48.13999999999999
2021-05-27,86,58,,0.58,49.879999999999995
2021-05-28,81,58,,0.58,46.98
2021-05-29,57,58,,0.58,33.059999999999995
2021-05-30,45,56,FALSE,0.56,25.200000000000003
2021-05-31,47,56,,0.56,26.320000000000004
2021-06-01,100,56,,0.56,56.00000000000001
