Date,Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten,Rakuten_adjusted
2020-12-22,26,30,,0.3,7.8,6.8999999999999995
2020-12-23,23,30,,0.3,6.8999999999999995,6.3
2020-12-24,21,30,,0.3,6.3,6.6
2020-12-25,22,30,,0.3,6.6,8.1
2020-12-26,27,30,,0.3,8.1,8.120000000000001
2020-12-27,29,28,False,0.28,8.120000000000001,7.280000000000001
2020-12-28,26,28,,0.28,7.280000000000001,7.000000000000001
2020-12-29,25,28,,0.28,7.000000000000001,6.44
2020-12-30,23,28,,0.28,6.44,7.000000000000001
2020-12-31,25,28,,0.28,7.000000000000001,25.480000000000004
2021-01-01,91,28,,0.28,25.480000000000004,27.72
2021-01-02,99,28,,0.28,27.72,23.0
2021-01-03,100,23,False,0.23,23.0,20.93
2021-01-04,91,23,,0.23,20.93,17.02
2021-01-05,74,23,,0.23,17.02,16.1
2021-01-06,70,23,,0.23,16.1,14.95
2021-01-07,65,23,,0.23,14.95,17.25
2021-01-08,75,23,,0.23,17.25,18.17
2021-01-09,79,23,,0.23,18.17,24.360000000000003
2021-01-10,87,28,False,0.28,24.360000000000003,21.28
2021-01-11,76,28,,0.28,21.28,23.24
2021-01-12,83,28,,0.28,23.24,22.4
2021-01-13,80,28,,0.28,22.4,22.96
2021-01-14,82,28,,0.28,22.96,20.44
2021-01-15,73,28,,0.28,20.44,21.28
2021-01-16,76,28,,0.28,21.28,19.55
2021-01-17,85,23,False,0.23,19.55,19.55
2021-01-18,85,23,,0.23,19.55,17.25
2021-01-19,75,23,,0.23,17.25,15.18
2021-01-20,66,23,,0.23,15.18,16.1
2021-01-21,70,23,,0.23,16.1,16.560000000000002
2021-01-22,72,23,,0.23,16.560000000000002,15.87
2021-01-23,69,23,,0.23,15.87,17.25
2021-01-24,75,23,False,0.23,17.25,18.4
2021-01-25,80,23,,0.23,18.4,16.330000000000002
2021-01-26,71,23,,0.23,16.330000000000002,14.95
2021-01-27,65,23,,0.23,14.95,17.48
2021-01-28,76,23,,0.23,17.48,15.87
2021-01-29,69,23,,0.23,15.87,17.02
2021-01-30,74,23,,0.23,17.02,19.55
2021-01-31,85,23,False,0.23,19.55,17.71
2021-02-01,77,23,,0.23,17.71,15.41
2021-02-02,67,23,,0.23,15.41,17.02
2021-02-03,74,23,,0.23,17.02,16.1
2021-02-04,70,23,,0.23,16.1,17.48
2021-02-05,76,23,,0.23,17.48,16.560000000000002
2021-02-06,72,23,,0.23,16.560000000000002,14.28
2021-02-07,68,21,False,0.21,14.28,13.86
2021-02-08,66,21,,0.21,13.86,13.86
2021-02-09,66,21,,0.21,13.86,14.49
2021-02-10,69,21,,0.21,14.49,14.49
2021-02-11,69,21,,0.21,14.49,13.86
2021-02-12,66,21,,0.21,13.86,16.169999999999998
2021-02-13,77,21,,0.21,16.169999999999998,21.75
2021-02-14,87,25,False,0.25,21.75,25.0
2021-02-15,100,25,,0.25,25.0,24.0
2021-02-16,96,25,,0.25,24.0,18.25
2021-02-17,73,25,,0.25,18.25,17.25
2021-02-18,69,25,,0.25,17.25,17.5
2021-02-19,70,25,,0.25,17.5,18.75
2021-02-20,75,25,,0.25,18.75,17.04
2021-02-21,71,24,False,0.24,17.04,17.04
2021-02-22,71,24,,0.24,17.04,18.96
2021-02-23,79,24,,0.24,18.96,16.8
2021-02-24,70,24,,0.24,16.8,20.16
2021-02-25,84,24,,0.24,20.16,17.04
2021-02-26,71,24,,0.24,17.04,19.44
2021-02-27,81,24,,0.24,19.44,19.32
2021-02-28,84,23,False,0.23,19.32,23.0
2021-03-01,100,23,,0.23,23.0,19.55
2021-03-02,85,23,,0.23,19.55,17.25
2021-03-03,75,23,,0.23,17.25,17.71
2021-03-04,77,23,,0.23,17.71,15.87
2021-03-05,69,23,,0.23,15.87,18.86
2021-03-06,82,23,,0.23,18.86,17.22
2021-03-07,82,21,False,0.21,17.22,17.22
2021-03-08,82,21,,0.21,17.22,16.38
2021-03-09,78,21,,0.21,16.38,15.33
2021-03-10,73,21,,0.21,15.33,15.54
2021-03-11,74,21,,0.21,15.54,15.12
2021-03-12,72,21,,0.21,15.12,18.06
2021-03-13,86,21,,0.21,18.06,17.6
2021-03-14,80,22,False,0.22,17.6,19.58
2021-03-15,89,22,,0.22,19.58,17.82
2021-03-16,81,22,,0.22,17.82,16.28
2021-03-17,74,22,,0.22,16.28,18.48
2021-03-18,84,22,,0.22,18.48,16.94
2021-03-19,77,22,,0.22,16.94,17.82
2021-03-20,81,22,,0.22,17.82,17.849999999999998
2021-03-21,85,21,False,0.21,17.849999999999998,18.27
2021-03-22,87,21,,0.21,18.27,16.38
2021-03-23,78,21,,0.21,16.38,16.169999999999998
2021-03-24,77,21,,0.21,16.169999999999998,17.849999999999998
2021-03-25,85,21,,0.21,17.849999999999998,15.54
2021-03-26,74,21,,0.21,15.54,17.009999999999998
2021-03-27,81,21,,0.21,17.009999999999998,16.8
2021-03-28,80,21,False,0.21,16.8,14.7
2021-03-29,70,21,,0.21,14.7,19.11
2021-03-30,91,21,,0.21,19.11,17.849999999999998
2021-03-31,85,21,,0.21,17.849999999999998,18.69
2021-04-01,89,21,,0.21,18.69,18.06
2021-04-02,86,21,,0.21,18.06,18.69
2021-04-03,89,21,,0.21,18.69,17.2
2021-04-04,86,20,False,0.2,17.2,18.2
2021-04-05,91,20,,0.2,18.2,15.6
2021-04-06,78,20,,0.2,15.6,16.8
2021-04-07,84,20,,0.2,16.8,16.400000000000002
2021-04-08,82,20,,0.2,16.400000000000002,15.8
2021-04-09,79,20,,0.2,15.8,17.400000000000002
2021-04-10,87,20,,0.2,17.400000000000002,17.43
2021-04-11,83,21,False,0.21,17.43,18.48
2021-04-12,88,21,,0.21,18.48,18.69
2021-04-13,89,21,,0.21,18.69,19.11
2021-04-14,91,21,,0.21,19.11,18.9
2021-04-15,90,21,,0.21,18.9,17.64
2021-04-16,84,21,,0.21,17.64,17.64
2021-04-17,84,21,,0.21,17.64,19.14
2021-04-18,87,22,False,0.22,19.14,20.24
2021-04-19,92,22,,0.22,20.24,22.0
2021-04-20,100,22,,0.22,22.0,18.92
2021-04-21,86,22,,0.22,18.92,20.46
2021-04-22,93,22,,0.22,20.46,17.38
2021-04-23,79,22,,0.22,17.38,18.48
2021-04-24,84,22,,0.22,18.48,18.4
2021-04-25,92,20,False,0.2,18.4,16.8
2021-04-26,84,20,,0.2,16.8,17.6
2021-04-27,88,20,,0.2,17.6,16.8
2021-04-28,84,20,,0.2,16.8,18.0
2021-04-29,90,20,,0.2,18.0,17.6
2021-04-30,88,20,,0.2,17.6,14.2
2021-05-01,71,20,,0.2,14.2,14.91
2021-05-02,71,21,False,0.21,14.91,15.54
2021-05-03,74,21,,0.21,15.54,16.169999999999998
2021-05-04,77,21,,0.21,16.169999999999998,12.39
2021-05-05,59,21,,0.21,12.39,15.75
2021-05-06,75,21,,0.21,15.75,14.91
2021-05-07,71,21,,0.21,14.91,13.86
2021-05-08,66,21,,0.21,13.86,18.25
2021-05-09,73,25,False,0.25,18.25,23.25
2021-05-10,93,25,,0.25,23.25,23.0
2021-05-11,92,25,,0.25,23.0,23.0
2021-05-12,92,25,,0.25,23.0,20.0
2021-05-13,80,25,,0.25,20.0,22.75
2021-05-14,91,25,,0.25,22.75,23.25
2021-05-15,93,25,,0.25,23.25,25.0
2021-05-16,100,25,False,0.25,25.0,24.75
2021-05-17,99,25,,0.25,24.75,20.75
2021-05-18,83,25,,0.25,20.75,18.0
2021-05-19,72,25,,0.25,18.0,16.5
2021-05-20,66,25,,0.25,16.5,18.75
2021-05-21,75,25,,0.25,18.75,17.25
2021-05-22,69,25,,0.25,17.25,18.96
2021-05-23,79,24,False,0.24,18.96,18.48
2021-05-24,77,24,,0.24,18.48,18.48
2021-05-25,77,24,,0.24,18.48,19.68
2021-05-26,82,24,,0.24,19.68,18.72
2021-05-27,78,24,,0.24,18.72,17.28
2021-05-28,72,24,,0.24,17.28,21.36
2021-05-29,89,24,,0.24,21.36,20.93
2021-05-30,91,23,False,0.23,20.93,21.62
2021-05-31,94,23,,0.23,21.62,21.16
2021-06-01,92,23,,0.23,21.16,20.24
2021-06-02,88,23,,0.23,20.24,18.86
2021-06-03,82,23,,0.23,18.86,18.17
2021-06-04,79,23,,0.23,18.17,17.48
2021-06-05,76,23,,0.23,17.48,16.169999999999998
2021-06-06,77,21,False,0.21,16.169999999999998,15.96
2021-06-07,76,21,,0.21,15.96,17.43
2021-06-08,83,21,,0.21,17.43,14.91
2021-06-09,71,21,,0.21,14.91,18.9
2021-06-10,90,21,,0.21,18.9,16.169999999999998
2021-06-11,77,21,,0.21,16.169999999999998,15.54
2021-06-12,74,21,,0.21,15.54,18.48
2021-06-13,88,21,False,0.21,18.48,16.38
2021-06-14,78,21,,0.21,16.38,16.59
2021-06-15,79,21,,0.21,16.59,15.33
2021-06-16,73,21,,0.21,15.33,18.06
2021-06-17,86,21,,0.21,18.06,15.75
2021-06-18,75,21,,0.21,15.75,14.49
2021-06-19,69,21,,0.21,14.49,16.79
2021-06-20,73,23,False,0.23,16.79,23.0
2021-06-21,100,23,,0.23,23.0,21.62
2021-06-22,94,23,,0.23,21.62,21.16
2021-06-23,92,23,,0.23,21.16,17.48
2021-06-24,76,23,,0.23,17.48,16.560000000000002
2021-06-25,72,23,,0.23,16.560000000000002,17.25
2021-06-26,75,23,,0.23,17.25,13.8
2021-06-27,69,20,False,0.2,13.8,15.8
2021-06-28,79,20,,0.2,15.8,15.0
2021-06-29,75,20,,0.2,15.0,15.6
2021-06-30,78,20,,0.2,15.6,17.6
2021-07-01,88,20,,0.2,17.6,18.6
2021-07-02,93,20,,0.2,18.6,18.6
2021-07-03,93,20,,0.2,18.6,20.79
2021-07-04,99,21,False,0.21,20.79,20.16
2021-07-05,96,21,,0.21,20.16,19.11
2021-07-06,91,21,,0.21,19.11,16.59
2021-07-07,79,21,,0.21,16.59,21.0
2021-07-08,100,21,,0.21,21.0,18.27
2021-07-09,87,21,,0.21,18.27,18.69
2021-07-10,89,21,,0.21,18.69,17.400000000000002
2021-07-11,87,20,False,0.2,17.400000000000002,18.8
2021-07-12,94,20,,0.2,18.8,19.200000000000003
2021-07-13,96,20,,0.2,19.200000000000003,18.8
2021-07-14,94,20,,0.2,18.8,16.6
2021-07-15,83,20,,0.2,16.6,17.8
2021-07-16,89,20,,0.2,17.8,16.8
2021-07-17,84,20,,0.2,16.8,18.05
2021-07-18,95,19,False,0.19,18.05,17.86
2021-07-19,94,19,,0.19,17.86,16.91
2021-07-20,89,19,,0.19,16.91,17.67
2021-07-21,93,19,,0.19,17.67,15.77
2021-07-22,83,19,,0.19,15.77,17.1
2021-07-23,90,19,,0.19,17.1,12.54
2021-07-24,66,19,,0.19,12.54,15.84
2021-07-25,88,18,False,0.18,15.84,14.22
2021-07-26,79,18,,0.18,14.22,16.38
2021-07-27,91,18,,0.18,16.38,13.32
2021-07-28,74,18,,0.18,13.32,14.94
2021-07-29,83,18,,0.18,14.94,13.86
2021-07-30,77,18,,0.18,13.86,11.88
2021-07-31,66,18,,0.18,11.88,17.86
2021-08-01,94,19,False,0.19,17.86,16.53
2021-08-02,87,19,,0.19,16.53,16.72
2021-08-03,88,19,,0.19,16.72,14.82
2021-08-04,78,19,,0.19,14.82,16.72
2021-08-05,88,19,,0.19,16.72,14.44
2021-08-06,76,19,,0.19,14.44,15.01
2021-08-07,79,19,,0.19,15.01,14.62
2021-08-08,86,17,False,0.17,14.62,14.62
2021-08-09,86,17,,0.17,14.62,12.58
2021-08-10,74,17,,0.17,12.58,13.43
2021-08-11,79,17,,0.17,13.43,13.43
