Date,United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines,UnitedAirlines_adjusted
2020-12-22,97,32,,0.32,31.04,29.76
2020-12-23,93,32,,0.32,29.76,24.0
2020-12-24,75,32,,0.32,24.0,19.84
2020-12-25,62,32,,0.32,19.84,25.28
2020-12-26,79,32,,0.32,25.28,23.7
2020-12-27,79,30,False,0.3,23.7,27.3
2020-12-28,91,30,,0.3,27.3,28.5
2020-12-29,95,30,,0.3,28.5,24.9
2020-12-30,83,30,,0.3,24.9,22.8
2020-12-31,76,30,,0.3,22.8,21.3
2021-01-01,71,30,,0.3,21.3,26.4
2021-01-02,88,30,,0.3,26.4,27.6
2021-01-03,92,30,False,0.3,27.6,28.2
2021-01-04,94,30,,0.3,28.2,29.1
2021-01-05,97,30,,0.3,29.1,25.5
2021-01-06,85,30,,0.3,25.5,27.3
2021-01-07,91,30,,0.3,27.3,26.1
2021-01-08,87,30,,0.3,26.1,21.9
2021-01-09,73,30,,0.3,21.9,23.78
2021-01-10,82,29,False,0.29,23.78,23.78
2021-01-11,82,29,,0.29,23.78,25.52
2021-01-12,88,29,,0.29,25.52,26.68
2021-01-13,92,29,,0.29,26.68,25.52
2021-01-14,88,29,,0.29,25.52,25.229999999999997
2021-01-15,87,29,,0.29,25.229999999999997,21.459999999999997
2021-01-16,74,29,,0.29,21.459999999999997,20.25
2021-01-17,75,27,False,0.27,20.25,21.87
2021-01-18,81,27,,0.27,21.87,22.950000000000003
2021-01-19,85,27,,0.27,22.950000000000003,21.6
2021-01-20,80,27,,0.27,21.6,24.3
2021-01-21,90,27,,0.27,24.3,22.950000000000003
2021-01-22,85,27,,0.27,22.950000000000003,19.98
2021-01-23,74,27,,0.27,19.98,24.49
2021-01-24,79,31,False,0.31,24.49,27.28
2021-01-25,88,31,,0.31,27.28,30.38
2021-01-26,98,31,,0.31,30.38,31.0
2021-01-27,100,31,,0.31,31.0,29.76
2021-01-28,96,31,,0.31,29.76,27.59
2021-01-29,89,31,,0.31,27.59,28.52
2021-01-30,92,31,,0.31,28.52,30.03
2021-01-31,91,33,False,0.33,30.03,15.84
2021-02-01,48,33,,0.33,15.84,16.830000000000002
2021-02-02,51,33,,0.33,16.830000000000002,16.830000000000002
2021-02-03,51,33,,0.33,16.830000000000002,16.17
2021-02-04,49,33,,0.33,16.17,15.18
2021-02-05,46,33,,0.33,15.18,13.86
2021-02-06,42,33,,0.33,13.86,14.19
2021-02-07,43,33,False,0.33,14.19,15.18
2021-02-08,46,33,,0.33,15.18,16.5
2021-02-09,50,33,,0.33,16.5,16.830000000000002
2021-02-10,51,33,,0.33,16.830000000000002,16.17
2021-02-11,49,33,,0.33,16.17,16.17
2021-02-12,49,33,,0.33,16.17,16.830000000000002
2021-02-13,51,33,,0.33,16.830000000000002,21.73
2021-02-14,53,41,False,0.41,21.73,25.42
2021-02-15,62,41,,0.41,25.42,25.83
2021-02-16,63,41,,0.41,25.83,24.19
2021-02-17,59,41,,0.41,24.19,25.01
2021-02-18,61,41,,0.41,25.01,22.549999999999997
2021-02-19,55,41,,0.41,22.549999999999997,29.52
2021-02-20,72,41,,0.41,29.52,47.0
2021-02-21,100,47,False,0.47,47.0,37.129999999999995
2021-02-22,79,47,,0.47,37.129999999999995,30.549999999999997
2021-02-23,65,47,,0.47,30.549999999999997,28.2
2021-02-24,60,47,,0.47,28.2,28.67
2021-02-25,61,47,,0.47,28.67,26.79
2021-02-26,57,47,,0.47,26.79,24.44
2021-02-27,52,47,,0.47,24.44,22.549999999999997
2021-02-28,55,41,False,0.41,22.549999999999997,34.03
2021-03-01,83,41,,0.41,34.03,34.03
2021-03-02,83,41,,0.41,34.03,35.26
2021-03-03,86,41,,0.41,35.26,36.08
2021-03-04,88,41,,0.41,36.08,33.62
2021-03-05,82,41,,0.41,33.62,33.62
2021-03-06,82,41,,0.41,33.62,37.8
2021-03-07,84,45,False,0.45,37.8,38.25
2021-03-08,85,45,,0.45,38.25,44.55
2021-03-09,99,45,,0.45,44.55,45.0
2021-03-10,100,45,,0.45,45.0,39.15
2021-03-11,87,45,,0.45,39.15,38.25
2021-03-12,85,45,,0.45,38.25,37.35
2021-03-13,83,45,,0.45,37.35,37.8
2021-03-14,90,42,False,0.42,37.8,38.64
2021-03-15,92,42,,0.42,38.64,37.8
2021-03-16,90,42,,0.42,37.8,38.64
2021-03-17,92,42,,0.42,38.64,37.379999999999995
2021-03-18,89,42,,0.42,37.379999999999995,36.12
2021-03-19,86,42,,0.42,36.12,32.339999999999996
2021-03-20,77,42,,0.42,32.339999999999996,33.21
2021-03-21,81,41,False,0.41,33.21,34.85
2021-03-22,85,41,,0.41,34.85,35.669999999999995
2021-03-23,87,41,,0.41,35.669999999999995,35.669999999999995
2021-03-24,87,41,,0.41,35.669999999999995,35.669999999999995
2021-03-25,87,41,,0.41,35.669999999999995,31.979999999999997
2021-03-26,78,41,,0.41,31.979999999999997,31.159999999999997
2021-03-27,76,41,,0.41,31.159999999999997,34.44
2021-03-28,82,42,False,0.42,34.44,33.6
2021-03-29,80,42,,0.42,33.6,34.86
2021-03-30,83,42,,0.42,34.86,36.12
2021-03-31,86,42,,0.42,36.12,35.28
2021-04-01,84,42,,0.42,35.28,33.6
2021-04-02,80,42,,0.42,33.6,28.14
2021-04-03,67,42,,0.42,28.14,27.3
2021-04-04,65,42,False,0.42,27.3,34.86
2021-04-05,83,42,,0.42,34.86,38.64
2021-04-06,92,42,,0.42,38.64,38.22
2021-04-07,91,42,,0.42,38.22,35.28
2021-04-08,84,42,,0.42,35.28,30.66
2021-04-09,73,42,,0.42,30.66,28.14
2021-04-10,67,42,,0.42,28.14,31.92
2021-04-11,76,42,False,0.42,31.92,42.0
2021-04-12,100,42,,0.42,42.0,31.08
2021-04-13,74,42,,0.42,31.08,31.08
2021-04-14,74,42,,0.42,31.08,31.5
2021-04-15,75,42,,0.42,31.5,30.24
2021-04-16,72,42,,0.42,30.24,27.72
2021-04-17,66,42,,0.42,27.72,30.24
2021-04-18,72,42,False,0.42,30.24,32.339999999999996
2021-04-19,77,42,,0.42,32.339999999999996,34.019999999999996
2021-04-20,81,42,,0.42,34.019999999999996,32.339999999999996
2021-04-21,77,42,,0.42,32.339999999999996,33.6
2021-04-22,80,42,,0.42,33.6,32.339999999999996
2021-04-23,77,42,,0.42,32.339999999999996,29.82
2021-04-24,71,42,,0.42,29.82,31.08
2021-04-25,74,42,False,0.42,31.08,32.339999999999996
2021-04-26,77,42,,0.42,32.339999999999996,33.18
2021-04-27,79,42,,0.42,33.18,34.019999999999996
2021-04-28,81,42,,0.42,34.019999999999996,35.28
2021-04-29,84,42,,0.42,35.28,30.24
2021-04-30,72,42,,0.42,30.24,25.619999999999997
2021-05-01,61,42,,0.42,25.619999999999997,25.200000000000003
2021-05-02,63,40,False,0.4,25.200000000000003,25.6
2021-05-03,64,40,,0.4,25.6,27.200000000000003
2021-05-04,68,40,,0.4,27.200000000000003,27.200000000000003
2021-05-05,68,40,,0.4,27.200000000000003,26.0
