title,date,excerpt,url,author
Warriors Suffer First Defeat of Season in Portland,2025-10-25T04:35:00Z,The Golden State Warriors fell 139-119 against the Portland Trail Blazers at Moda Center on Friday night in the second night of a back-to-back.,https://www.nba.com/warriors/news/gameday-recap-20251024,Golden State Warriors
Warriors & Audacy’s 95.7 The Game Announce Multi-Year Contract Extension,2025-10-23T23:00:00Z,"The Golden State Warriors have signed a multi-year contract extension with their flagship radio station, 95.7 The Game (KGMZ-FM), an Audacy station.",https://www.nba.com/warriors/news/warriors-audacys-95-7-the-game-announce-multi-year-contract-extension-20251023,Golden State Warriors
Warriors Announce 2025-26 Opening Night Roster,2025-10-21T01:44:49Z,The Golden State Warriors have announced their 2025-26 Opening Night roster prior to Tuesday’s season opener at the Los Angeles Lakers. ,https://www.nba.com/warriors/news/warriors-announce-2025-26-opening-night-roster-20251020,Kalyb Champion
Warriors Unveil 2025-26 NBA City Edition Uniform,2025-10-20T15:45:00Z,"The Golden State Warriors have unveiled their 2025-26 Nike NBA City Edition Uniform, it was announced today. In addition, the team has launched The Town Edition, presented by Rakuten, a campaign celebrating a fan-favorite Warriors uniform and honoring the City of Oakland.",https://www.nba.com/warriors/news/warriors-unveil-2025-26-nba-city-edition-uniform-20251020,Golden State Warriors
Warriors Waive Guards LJ Cryer & Seth Curry,2025-10-18T17:05:48Z,"The Golden State Warriors have waived guards LJ Cryer and Seth Curry, it was announced Saturday.",https://www.nba.com/warriors/news/warriors-waive-guards-lj-cryer-seth-curry-20251018,Kalyb Champion
Warriors Waive Marques Bolden and Taevion Kinsey,2025-10-15T16:10:42Z,"The Golden State Warriors have waived center Marques Bolden and guard Taevion Kinsey, it was announced Wednesday.",https://www.nba.com/warriors/news/warriors-waive-marques-bolden-and-taevion-kinsey-20251015,Golden State Warriors
Brandin Podziemski Scores Game-High 23 Points as Warriors Fall to Lakers in Preseason Matchup,2025-10-13T03:50:00Z,The Golden State Warriors fell 126-116 to the Los Angeles Lakers at Crypto.com Arena on Sunday night in a preseason matchup.,https://www.nba.com/warriors/news/gameday-recap-20251012,Golden State Warriors
Warriors Sign Free Agent Guard Seth Curry,2025-10-01T18:05:20Z,"The Golden State Warriors have signed free agent guard Seth Curry to a contract, it was announced Wednesday.",https://www.nba.com/warriors/news/warriors-sign-free-agent-guard-seth-curry-20251001,Kalyb Champion
Warriors Sign Free Agent Guard De’Anthony Melton,2025-10-01T17:50:54Z,"The Golden State Warriors have signed free agent guard De’Anthony Melton to a contract, it was announced Wednesday.",https://www.nba.com/warriors/news/warriors-sign-free-agent-guard-deanthony-melton-20251001,Kalyb Champion
Warriors Sign Free Agent Center Al Horford,2025-10-01T16:16:59Z,"The Golden State Warriors have signed free agent center Al Horford to a contract, it was announced Wednesday.",https://www.nba.com/warriors/news/warriors-sign-free-agent-center-al-horford-20251001,Kalyb Champion
Warriors Re-Sign Forward Jonathan Kuminga,2025-10-01T03:34:37Z,"The Golden State Warriors have re-signed forward Jonathan Kuminga, it was announced Tuesday.",https://www.nba.com/warriors/news/warriors-re-sign-forward-jonathan-kuminga-20250930,Kalyb Champion
"Warriors Waive Ja’Vier Francis, Chance McMillian & Jacksen Moni",2025-09-29T23:10:00Z,"The Golden State Warriors have waived forward Ja’Vier Francis, guard Chance McMillian and forward Jacksen Moni, it was announced today.",https://www.nba.com/warriors/news/francis-mcmillian-moni-waived-20250929,Golden State Warriors
Warriors Sign Pat Spencer to Two-Way Contract,2025-09-29T20:13:00Z,"The Golden State Warriors have signed guard Pat Spencer to a two-way contract, it was announced today.",https://www.nba.com/warriors/news/pat-spencer-signs-two-way-contract-20250929,Golden State Warriors
"Warriors Sign Marques Bolden, LJ Cryer and Taevion Kinsey",2025-09-29T18:58:00Z,"The Golden State Warriors have signed free agent center Marques Bolden along with guards LJ Cryer and Taevion Kinsey, it was announced today.",https://www.nba.com/warriors/news/bolden-cryer-kinsey-signed-20250929,Golden State Warriors
Warriors Sign Alex Toohey to Two-Way Contract,2025-09-29T17:57:00Z,"The Golden State Warriors have signed forward Alex Toohey to a two-way contract, it was announced today.",https://www.nba.com/warriors/news/alex-toohey-signs-two-way-contract-20250929,Golden State Warriors
"Warriors Sign Ja'Vier Francis, Chance McMillian & Jacksen Moni",2025-09-29T17:33:40Z,"The Golden State Warriors have signed free agent forward Ja’Vier Francis, guard Chance McMillian and forward Jacksen Moni, it was announced Monday.",https://www.nba.com/warriors/news/warriors-sign-javier-francis-chance-mcmillian-jacksen-moni-20250929,Kalyb Champion
Warriors Sign 2025 Draft Pick Will Richard,2025-09-29T17:05:25Z,"The Golden State Warriors have signed rookie guard Will Richard to a contract, it was announced Monday.",https://www.nba.com/warriors/news/warriors-sign-2025-draft-pick-will-richard-20250929,Kalyb Champion
Warriors Re-Sign Guard Gary Payton II,2025-09-29T16:38:56Z,"The Golden State Warriors have re-signed free agent guard Gary Payton II, it was announced Monday. ",https://www.nba.com/warriors/news/warriors-re-sign-guard-gary-payton-ii-20250929,Kalyb Champion
"Warriors Announce Schedule For 2025 Training Camp, Presented By Gatorade",2025-09-28T21:45:32Z,"The Warriors have announced their training camp schedule ahead of the team’s 2025 Training Camp, presented by Gatorade. ",https://www.nba.com/warriors/news/warriors-announce-schedule-for-2025-training-camp-presented-by-gatorade-20250928,Kalyb Champion
Warriors Announce Basketball Operations Promotions And Additions,2025-09-27T16:45:00Z,The Golden State Warriors have announced promotions and additions within the team’s basketball operations department ahead of the 2025-26 NBA season.,https://www.nba.com/warriors/news/warriors-basketball-operations-promotions-and-additions-20250927,Golden State Warriors
"Warriors to Host Open Practice, Presented by Waymo, on Thursday, October 9",2025-09-25T15:00:00Z,"The Golden State Warriors have announced that the team will host Open Practice, presented by Waymo, at Chase Center on Thursday, October 9, at 5:30 p.m., giving fans a rare, behind-the-scenes look at a Warriors team practice.",https://www.nba.com/warriors/news/warriors-to-host-open-practice-october-9-20250925,Golden State Warriors
Warriors Announce 2025-26 Promotional Schedule,2025-09-24T17:00:00Z,"The Warriors have announced the team’s promotional schedule for the 2025-26 NBA season, which features a variety of theme nights and giveaways.",https://www.nba.com/warriors/news/warriors-announce-2025-26-promotional-schedule-20250924,Kalyb Champion
Warriors and United Airlines Open Applications for 2026 Franchise Fund Cohort,2025-09-11T20:00:00Z,"The Golden State Warriors and United Airlines, in partnership with the Western Regional Minority Supplier Development Council (WRMSDC), have announced that applications are now open for the 2026 Franchise Fund cohort.",https://www.nba.com/warriors/news/warriors-united-airlines-open-applications-for-2026-franchise-fund-cohort-20250911,Golden State Warriors
Warriors Announce 2025-26 Television & Radio Broadcast Schedules,2025-09-11T17:00:00Z,"For the 17th straight season, every regular season Golden State Warriors game will be available on television and radio, the team announced today.",https://www.nba.com/warriors/news/warriors-announce-2025-26-broadcast-schedule-20250911,Golden State Warriors
Estimated $429.3 Million in Total Event Value Generated by NBA All-Star 2025,2025-09-11T16:02:00Z,"Temple University Sports Industry Research Center has released an economic impact study finding that NBA All-Star 2025 generated $429.3 million in total event value for the San Francisco Bay Area economy, including $328.2 million in total economic impact and $101.1 million in earned media value.",https://www.nba.com/warriors/news/nba-all-star-2025-event-value-generated-429-million-20250911,Golden State Warriors
Warriors Single-Game Tickets for the 2025-26 NBA Season Available Today During Exclusive Presale Events,2025-09-03T15:00:00Z,"The Golden State Warriors have announced that single-game tickets for all home games during the 2025-26 season will be available starting today, September 3, through a series of exclusive presale events.",https://www.nba.com/warriors/news/2025-26-warriors-single-game-tickets-20250903,Golden State Warriors
"Golden State Sports Academy, Powered by Rakuten, Announces 2025 Fall Camp Schedule",2025-09-02T17:02:00Z,"Golden State Sports Academy, powered by Rakuten, has announced its 2025 fall camp schedule, which includes camp sessions at eight Bay Area locations for ages seven and up.",https://www.nba.com/warriors/news/golden-state-sports-academy-2025-fall-camp-schedule-20250902,Golden State Warriors
Warriors Announce 2025-2026 Regular Season Schedule,2025-08-14T19:16:02Z,"The National Basketball Association announced Thursday that the Golden State Warriors’ 2025-26 season, presented by Kaiser Permanente, will feature a franchise-record 34 national TV appearances, surpassing the team’s previous high of 31 in 2017-18.",https://www.nba.com/warriors/news/warriors-announce-2025-2026-regular-season-schedule-20250814,Kalyb Champion
Warriors Announce Emirates NBA Cup 2025 Schedule,2025-08-13T18:08:45Z,"The National Basketball Association has announced the Golden State Warriors Emirates NBA Cup 2025 schedule, which includes a 2025 NBA Playoffs First Round rematch with the Houston Rockets on Wednesday, Nov. 26 at Chase Center (7 p.m. on ESPN).",https://www.nba.com/warriors/news/warriors-announce-emirates-nba-cup-2025-schedule-20250813,Kalyb Champion
Warriors Announce Three Games on 2025-26 Schedule,2025-08-12T12:45:00Z,"The National Basketball Association announced three Golden State Warriors games for the 2025-26 regular season, highlighted by the team’s season opener on the road against the Los Angeles Lakers on Tuesday, October 21 at 7:30 p.m. (NBC).",https://www.nba.com/warriors/news/warriors-announce-three-games-on-2025-26-schedule-20250812,Golden State Warriors
