Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
92,,,,
100,,,,
84,,,,
79,,,,
54,,,,
54,72.0,False,0.72,38.879999999999995
93,72.0,,0.72,66.96
89,72.0,,0.72,64.08
96,72.0,,0.72,69.12
90,72.0,,0.72,64.8
84,72.0,,0.72,60.48
57,72.0,,0.72,41.04
53,67.0,False,0.67,35.510000000000005
78,67.0,,0.67,52.260000000000005
80,67.0,,0.67,53.6
86,67.0,,0.67,57.620000000000005
77,67.0,,0.67,51.59
77,67.0,,0.67,51.59
50,67.0,,0.67,33.5
50,52.0,False,0.52,26.0
67,52.0,,0.52,34.84
69,52.0,,0.52,35.88
72,52.0,,0.52,37.44
59,52.0,,0.52,30.68
44,52.0,,0.52,22.880000000000003
50,52.0,,0.52,26.0
53,58.0,False,0.58,30.74
66,58.0,,0.58,38.279999999999994
75,58.0,,0.58,43.5
69,58.0,,0.58,40.019999999999996
75,58.0,,0.58,43.5
61,58.0,,0.58,35.379999999999995
60,58.0,,0.58,34.8
53,68.0,False,0.68,36.04
75,68.0,,0.68,51.00000000000001
91,68.0,,0.68,61.88
77,68.0,,0.68,52.36000000000001
83,68.0,,0.68,56.440000000000005
63,68.0,,0.68,42.84
50,68.0,,0.68,34.0
50,77.0,False,0.77,38.5
74,77.0,,0.77,56.980000000000004
100,77.0,,0.77,77.0
95,77.0,,0.77,73.15
88,77.0,,0.77,67.76
80,77.0,,0.77,61.6
50,77.0,,0.77,38.5
48,68.0,False,0.68,32.64
63,68.0,,0.68,42.84
90,68.0,,0.68,61.2
82,68.0,,0.68,55.760000000000005
89,68.0,,0.68,60.52
77,68.0,,0.68,52.36000000000001
52,68.0,,0.68,35.36
53,74.0,False,0.74,39.22
81,74.0,,0.74,59.94
87,74.0,,0.74,64.38
93,74.0,,0.74,68.82
82,74.0,,0.74,60.68
75,74.0,,0.74,55.5
53,74.0,,0.74,39.22
53,74.0,False,0.74,39.22
88,74.0,,0.74,65.12
88,74.0,,0.74,65.12
100,74.0,,0.74,74.0
86,74.0,,0.74,63.64
80,74.0,,0.74,59.2
61,74.0,,0.74,45.14
53,68.0,False,0.68,36.04
82,68.0,,0.68,55.760000000000005
91,68.0,,0.68,61.88
93,68.0,,0.68,63.24
83,68.0,,0.68,56.440000000000005
83,68.0,,0.68,56.440000000000005
53,68.0,,0.68,36.04
54,62.0,False,0.62,33.48
71,62.0,,0.62,44.02
77,62.0,,0.62,47.74
92,62.0,,0.62,57.04
84,62.0,,0.62,52.08
80,62.0,,0.62,49.6
56,62.0,,0.62,34.72
53,71.0,False,0.71,37.629999999999995
83,71.0,,0.71,58.93
85,71.0,,0.71,60.349999999999994
93,71.0,,0.71,66.03
82,71.0,,0.71,58.22
75,71.0,,0.71,53.25
