Season,Date,Opponent,Result,Record,Hi Points,Hi Rebounds,Hi Assists
2021,"Tue, Dec 22",@ Brooklyn,L 125-99,0-1,Curry 20,Chriss 8,Curry 10
2021,"Fri, Dec 25",@ Milwaukee,L 138-99,0-2,Curry 19,Wiseman 8,Curry 6
2021,"Sun, Dec 27",@ Chicago,W 129-128,1-2,Curry 36,Oubre Jr. 11,Curry 6
2021,"Tue, Dec 29",@ Detroit,W 116-106,2-2,Curry 31,Wiggins 7,Curry 6
2021,"Fri, Jan 1",vs Portland,L 123-98,2-3,Curry 26,Curry 8,Curry 5
2021,"Sun, Jan 3",vs Portland,W 137-122,3-3,Curry 62,Wiseman 11,Green 8
2021,"Mon, Jan 4",vs Sacramento,W 137-106,4-3,Curry 30,Curry 9,Curry 8
2021,"Wed, Jan 6",vs LA,L 108-101,4-4,Paschall 19,Green 6,Green 6
2021,"Fri, Jan 8",vs LA,W 115-105,5-4,Curry 38,Wiggins 6,Curry 11
2021,"Sun, Jan 10",vs Toronto,W 106-105,6-4,Wiggins 17,Curry 9,Green 10
2021,"Tue, Jan 12",vs Indiana,L 104-95,6-5,Wiggins 22,Wiseman 9,Green 10
2021,"Thu, Jan 14",@ Denver,L 114-104,6-6,Curry 35,Curry 11,Green 7
2021,"Mon, Jan 18",@ Los Angeles,W 115-113,7-6,Curry 26,Green 8,Green 9
2021,"Wed, Jan 20",vs San Antonio,W 121-99,8-6,Curry 26,Curry 11,Curry 7
2021,"Thu, Jan 21",vs New York,L 119-104,8-7,Curry 30,Wiggins 9,Green 8
2021,"Sat, Jan 23",@ Utah,L 127-108,8-8,Curry 24,Curry 7,Curry 7
2021,"Mon, Jan 25",vs Minnesota,W 130-108,9-8,Curry 36,Wiggins 6,Oubre Jr. 4
2021,"Wed, Jan 27",vs Minnesota,W 123-111,10-8,Wiseman 25,Looney 10,Curry 8
2021,"Thu, Jan 28",@ Phoenix,L 114-93,10-9,Curry 27,Wiseman 6,Green 6
2021,"Sat, Jan 30",vs Detroit,W 118-91,11-9,Curry 28,Wiseman 9,Curry 7
2021,"Tue, Feb 2",vs Boston,L 111-107,11-10,Curry 38,Curry 11,Curry 8
2021,"Thu, Feb 4",@ Dallas,W 147-116,12-10,Oubre Jr. 40,Oubre Jr. 8,Green 15
2021,"Sat, Feb 6",@ Dallas,L 134-132,12-11,Curry 57,Toscano-Anderson 10,Green 15
2021,"Mon, Feb 8",@ San Antonio,L 105-100,12-12,Curry 32,Toscano-Anderson 11,Green 10
2021,"Tue, Feb 9",@ San Antonio,W 114-91,13-12,Curry 32,Oubre Jr. 10,Green 11
2021,"Thu, Feb 11",vs Orlando,W 111-105,14-12,Curry 40,Oubre Jr. 10,Green 11
2021,"Sat, Feb 13",vs Brooklyn,L 134-117,14-13,Curry 27,Oubre Jr. 10,Green 8
2021,"Mon, Feb 15",vs Cleveland,W 129-98,15-13,Curry 36,Paschall 8,Green 16
2021,"Wed, Feb 17",vs Miami,W 120-112 OT,16-13,Bazemore 26,Bazemore 8,Curry 11
2021,"Fri, Feb 19",@ Orlando,L 124-120,16-14,Curry 29,Curry 7,Curry 11
2021,"Sat, Feb 20",@ Charlotte,L 102-100,16-15,Oubre Jr. 25,Green 7,Wanamaker 5
