Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
15,,,,
19,,,,
20,,,,
17,,,,
19,,,,
17,5.0,False,0.05,0.8500000000000001
16,5.0,,0.05,0.8
17,5.0,,0.05,0.8500000000000001
15,5.0,,0.05,0.75
17,5.0,,0.05,0.8500000000000001
14,5.0,,0.05,0.7000000000000001
25,5.0,,0.05,1.25
60,10.0,False,0.1,6.0
22,10.0,,0.1,2.2
22,10.0,,0.1,2.2
47,10.0,,0.1,4.7
23,10.0,,0.1,2.3000000000000003
38,10.0,,0.1,3.8
23,10.0,,0.1,2.3000000000000003
23,13.0,False,0.13,2.99
21,13.0,,0.13,2.73
37,13.0,,0.13,4.8100000000000005
100,13.0,,0.13,13.0
25,13.0,,0.13,3.25
72,13.0,,0.13,9.36
37,13.0,,0.13,4.8100000000000005
28,11.0,False,0.11,3.08
53,11.0,,0.11,5.83
26,11.0,,0.11,2.86
46,11.0,,0.11,5.06
22,11.0,,0.11,2.42
27,11.0,,0.11,2.97
62,11.0,,0.11,6.82
24,15.0,False,0.15,3.5999999999999996
100,15.0,,0.15,15.0
80,15.0,,0.15,12.0
28,15.0,,0.15,4.2
58,15.0,,0.15,8.7
24,15.0,,0.15,3.5999999999999996
75,15.0,,0.15,11.25
35,12.0,False,0.12,4.2
62,12.0,,0.12,7.44
26,12.0,,0.12,3.12
64,12.0,,0.12,7.68
30,12.0,,0.12,3.5999999999999996
51,12.0,,0.12,6.12
24,12.0,,0.12,2.88
20,13.0,False,0.13,2.6
20,13.0,,0.13,2.6
78,13.0,,0.13,10.14
27,13.0,,0.13,3.51
68,13.0,,0.13,8.84
63,13.0,,0.13,8.19
29,13.0,,0.13,3.77
50,12.0,False,0.12,6.0
21,12.0,,0.12,2.52
49,12.0,,0.12,5.88
29,12.0,,0.12,3.48
65,12.0,,0.12,7.8
49,12.0,,0.12,5.88
27,12.0,,0.12,3.24
55,11.0,False,0.11,6.05
28,11.0,,0.11,3.08
32,11.0,,0.11,3.52
79,11.0,,0.11,8.69
33,11.0,,0.11,3.63
78,11.0,,0.11,8.58
41,11.0,,0.11,4.51
100,12.0,False,0.12,12.0
33,12.0,,0.12,3.96
64,12.0,,0.12,7.68
67,12.0,,0.12,8.04
33,12.0,,0.12,3.96
79,12.0,,0.12,9.48
58,12.0,,0.12,6.96
99,13.0,False,0.13,12.87
38,13.0,,0.13,4.94
70,13.0,,0.13,9.1
38,13.0,,0.13,4.94
87,13.0,,0.13,11.31
43,13.0,,0.13,5.59
68,13.0,,0.13,8.84
84,12.0,False,0.12,10.08
28,12.0,,0.12,3.36
38,12.0,,0.12,4.56
66,12.0,,0.12,7.92
67,12.0,,0.12,8.04
37,12.0,,0.12,4.4399999999999995
86,12.0,,0.12,10.32
47,10.0,False,0.1,4.7
100,10.0,,0.1,10.0
40,10.0,,0.1,4.0
48,10.0,,0.1,4.800000000000001
90,10.0,,0.1,9.0
63,10.0,,0.1,6.300000000000001
33,10.0,,0.1,3.3000000000000003
29,6.0,False,0.06,1.74
35,6.0,,0.06,2.1
32,6.0,,0.06,1.92
34,6.0,,0.06,2.04
40,6.0,,0.06,2.4
88,6.0,,0.06,5.279999999999999
41,6.0,,0.06,2.46
74,10.0,False,0.1,7.4
46,10.0,,0.1,4.6000000000000005
76,10.0,,0.1,7.6
41,10.0,,0.1,4.1000000000000005
78,10.0,,0.1,7.800000000000001
49,10.0,,0.1,4.9
97,10.0,,0.1,9.7
66,10.0,False,0.1,6.6000000000000005
37,10.0,,0.1,3.7
