JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
94,,,,
100,,,,
92,,,,
95,,,,
43,,,,
28,33.0,False,0.33,9.24
78,33.0,,0.33,25.74
89,33.0,,0.33,29.37
83,33.0,,0.33,27.39
91,33.0,,0.33,30.03
74,33.0,,0.33,24.42
50,33.0,,0.33,16.5
40,33.0,False,0.33,13.2
76,33.0,,0.33,25.08
93,33.0,,0.33,30.69
79,33.0,,0.33,26.07
85,33.0,,0.33,28.05
95,33.0,,0.33,31.35
61,33.0,,0.33,20.130000000000003
49,29.0,False,0.29,14.21
80,29.0,,0.29,23.2
96,29.0,,0.29,27.839999999999996
93,29.0,,0.29,26.97
63,29.0,,0.29,18.27
28,29.0,,0.29,8.12
29,29.0,,0.29,8.41
35,31.0,False,0.31,10.85
87,31.0,,0.31,26.97
79,31.0,,0.31,24.49
81,31.0,,0.31,25.11
83,31.0,,0.31,25.73
51,31.0,,0.31,15.81
43,31.0,,0.31,13.33
41,35.0,False,0.35,14.35
80,35.0,,0.35,28.0
86,35.0,,0.35,30.1
69,35.0,,0.35,24.15
67,35.0,,0.35,23.45
79,35.0,,0.35,27.65
44,35.0,,0.35,15.4
30,36.0,False,0.36,10.8
63,36.0,,0.36,22.68
90,36.0,,0.36,32.4
84,36.0,,0.36,30.24
79,36.0,,0.36,28.44
100,36.0,,0.36,36.0
43,36.0,,0.36,15.48
48,34.0,False,0.34,16.32
57,34.0,,0.34,19.380000000000003
80,34.0,,0.34,27.200000000000003
85,34.0,,0.34,28.9
76,34.0,,0.34,25.840000000000003
77,34.0,,0.34,26.180000000000003
35,34.0,,0.34,11.9
23,37.0,False,0.37,8.51
89,37.0,,0.37,32.93
87,37.0,,0.37,32.19
84,37.0,,0.37,31.08
75,37.0,,0.37,27.75
81,37.0,,0.37,29.97
54,37.0,,0.37,19.98
40,34.0,False,0.34,13.6
93,34.0,,0.34,31.62
90,34.0,,0.34,30.6
77,34.0,,0.34,26.180000000000003
83,34.0,,0.34,28.22
71,34.0,,0.34,24.14
53,34.0,,0.34,18.02
49,33.0,False,0.33,16.17
80,33.0,,0.33,26.4
80,33.0,,0.33,26.4
68,33.0,,0.33,22.44
66,33.0,,0.33,21.78
100,33.0,,0.33,33.0
49,33.0,,0.33,16.17
42,33.0,False,0.33,13.86
56,33.0,,0.33,18.48
89,33.0,,0.33,29.37
77,33.0,,0.33,25.41
74,33.0,,0.33,24.42
86,33.0,,0.33,28.380000000000003
75,33.0,,0.33,24.75
45,35.0,False,0.35,15.749999999999998
81,35.0,,0.35,28.35
86,35.0,,0.35,30.1
98,35.0,,0.35,34.3
76,35.0,,0.35,26.6
82,35.0,,0.35,28.7
43,35.0,,0.35,15.05
36,35.0,False,0.35,12.6
91,35.0,,0.35,31.85
100,35.0,,0.35,35.0
94,35.0,,0.35,32.9
76,35.0,,0.35,26.6
69,35.0,,0.35,24.15
39,35.0,,0.35,13.65
35,33.0,False,0.33,11.55
82,33.0,,0.33,27.06
79,33.0,,0.33,26.07
83,33.0,,0.33,27.39
65,33.0,,0.33,21.45
66,33.0,,0.33,21.78
47,33.0,,0.33,15.510000000000002
32,34.0,False,0.34,10.88
77,34.0,,0.34,26.180000000000003
77,34.0,,0.34,26.180000000000003
78,34.0,,0.34,26.520000000000003
78,34.0,,0.34,26.520000000000003
93,34.0,,0.34,31.62
30,34.0,,0.34,10.2
25,34.0,False,0.34,8.5
80,34.0,,0.34,27.200000000000003
63,34.0,,0.34,21.42
86,34.0,,0.34,29.24
72,34.0,,0.34,24.48
78,34.0,,0.34,26.520000000000003
40,34.0,,0.34,13.6
32,32.0,False,0.32,10.24
76,32.0,,0.32,24.32
78,32.0,,0.32,24.96
75,32.0,,0.32,24.0
77,32.0,,0.32,24.64
67,32.0,,0.32,21.44
39,32.0,,0.32,12.48
