Kaiser Permanente_unscaled,Kaiser Permanente_monthly,isPartial,scale,Kaiser Permanente
84,,,,
81,,,,
51,,,,
42,63.0,False,0.63,26.46
89,63.0,,0.63,56.07
89,63.0,,0.63,56.07
100,63.0,,0.63,63.0
81,63.0,,0.63,51.03
79,63.0,,0.63,49.77
50,63.0,,0.63,31.5
42,61.0,False,0.61,25.62
87,61.0,,0.61,53.07
88,61.0,,0.61,53.68
87,61.0,,0.61,53.07
80,61.0,,0.61,48.8
76,61.0,,0.61,46.36
51,61.0,,0.61,31.11
42,62.0,False,0.62,26.04
87,62.0,,0.62,53.94
96,62.0,,0.62,59.519999999999996
91,62.0,,0.62,56.42
80,62.0,,0.62,49.6
76,62.0,,0.62,47.12
51,62.0,,0.62,31.62
37,58.0,False,0.58,21.459999999999997
83,58.0,,0.58,48.13999999999999
90,58.0,,0.58,52.199999999999996
89,58.0,,0.58,51.62
80,58.0,,0.58,46.4
81,58.0,,0.58,46.98
49,58.0,,0.58,28.419999999999998
43,48.0,False,0.48,20.64
91,48.0,,0.48,43.68
93,48.0,,0.48,44.64
55,48.0,,0.48,26.4
62,48.0,,0.48,29.759999999999998
67,48.0,,0.48,32.16
50,48.0,,0.48,24.0
42,58.0,False,0.58,24.36
89,58.0,,0.58,51.62
94,58.0,,0.58,54.519999999999996
90,58.0,,0.58,52.199999999999996
87,58.0,,0.58,50.459999999999994
90,58.0,,0.58,52.199999999999996
59,58.0,,0.58,34.22
47,61.0,False,0.61,28.669999999999998
100,61.0,,0.61,61.0
96,61.0,,0.61,58.56
100,61.0,,0.61,61.0
100,61.0,,0.61,61.0
89,61.0,,0.61,54.29
62,61.0,,0.61,37.82
51,52.0,False,0.52,26.52
95,52.0,,0.52,49.4
95,52.0,,0.52,49.4
86,52.0,,0.52,44.72
41,52.0,,0.52,21.32
57,52.0,,0.52,29.64
51,52.0,,0.52,26.52
47,64.0,False,0.64,30.080000000000002
93,64.0,,0.64,59.52
93,64.0,,0.64,59.52
100,64.0,,0.64,64.0
88,64.0,,0.64,56.32
89,64.0,,0.64,56.96
67,64.0,,0.64,42.88
49,62.0,False,0.62,30.38
83,62.0,,0.62,51.46
91,62.0,,0.62,56.42
