Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten,Date
100,98,,0.98,98.0,12/1/20
57,98,,0.98,55.86,12/2/20
47,98,,0.98,46.06,12/3/20
48,98,,0.98,47.04,12/4/20
50,98,,0.98,49.0,12/5/20
57,59,False,0.59,33.629999999999995,12/6/20
45,59,,0.59,26.549999999999997,12/7/20
42,59,,0.59,24.78,12/8/20
44,59,,0.59,25.959999999999997,12/9/20
42,59,,0.59,24.78,12/10/20
40,59,,0.59,23.6,12/11/20
43,59,,0.59,25.369999999999997,12/12/20
45,45,False,0.45,20.25,12/13/20
42,45,,0.45,18.9,12/14/20
40,45,,0.45,18.0,12/15/20
32,45,,0.45,14.4,12/16/20
28,45,,0.45,12.6,12/17/20
30,45,,0.45,13.5,12/18/20
32,45,,0.45,14.4,12/19/20
30,30,False,0.3,9.0,12/20/20
28,30,,0.3,8.4,12/21/20
26,30,,0.3,7.8,12/22/20
23,30,,0.3,6.8999999999999995,12/23/20
21,30,,0.3,6.3,12/24/20
22,30,,0.3,6.6,12/25/20
27,30,,0.3,8.1,12/26/20
29,28,False,0.28,8.120000000000001,12/27/20
26,28,,0.28,7.280000000000001,12/28/20
25,28,,0.28,7.000000000000001,12/29/20
23,28,,0.28,6.44,12/30/20
25,28,,0.28,7.000000000000001,12/31/20
91,28,,0.28,25.480000000000004,1/1/21
99,28,,0.28,27.72,1/2/21
100,23,False,0.23,23.0,1/3/21
91,23,,0.23,20.93,1/4/21
74,23,,0.23,17.02,1/5/21
70,23,,0.23,16.1,1/6/21
65,23,,0.23,14.95,1/7/21
75,23,,0.23,17.25,1/8/21
79,23,,0.23,18.17,1/9/21
87,28,False,0.28,24.360000000000003,1/10/21
76,28,,0.28,21.28,1/11/21
83,28,,0.28,23.24,1/12/21
80,28,,0.28,22.4,1/13/21
82,28,,0.28,22.96,1/14/21
73,28,,0.28,20.44,1/15/21
76,28,,0.28,21.28,1/16/21
85,23,False,0.23,19.55,1/17/21
85,23,,0.23,19.55,1/18/21
75,23,,0.23,17.25,1/19/21
66,23,,0.23,15.18,1/20/21
70,23,,0.23,16.1,1/21/21
72,23,,0.23,16.560000000000002,1/22/21
69,23,,0.23,15.87,1/23/21
75,23,False,0.23,17.25,1/24/21
80,23,,0.23,18.4,1/25/21
71,23,,0.23,16.330000000000002,1/26/21
65,23,,0.23,14.95,1/27/21
76,23,,0.23,17.48,1/28/21
