United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines
89,30,,0.3,26.7
88,30,,0.3,26.4
87,30,,0.3,26.099999999999998
81,30,,0.3,24.3
72,30,,0.3,21.599999999999998
66,32,FALSE,0.32,21.12
86,32,,0.32,27.52
82,32,,0.32,26.240000000000002
80,32,,0.32,25.6
79,32,,0.32,25.28
77,32,,0.32,24.64
83,32,,0.32,26.560000000000002
100,34,FALSE,0.34,34
98,34,,0.34,33.32
90,34,,0.34,30.6
89,34,,0.34,30.26
89,34,,0.34,30.26
89,34,,0.34,30.26
90,34,,0.34,30.6
94,32,FALSE,0.32,30.080000000000002
95,32,,0.32,30.400000000000002
97,32,,0.32,31.04
93,32,,0.32,29.76
75,32,,0.32,24
62,32,,0.32,19.84
79,32,,0.32,25.28
79,30,FALSE,0.3,23.7
91,30,,0.3,27.3
95,30,,0.3,28.5
83,30,,0.3,24.9
76,30,,0.3,22.8
71,30,,0.3,21.3
88,30,,0.3,26.4
92,30,FALSE,0.3,27.599999999999998
94,30,,0.3,28.2
97,30,,0.3,29.099999999999998
85,30,,0.3,25.5
91,30,,0.3,27.3
87,30,,0.3,26.099999999999998
73,30,,0.3,21.9
82,29,FALSE,0.29,23.779999999999998
82,29,,0.29,23.779999999999998
88,29,,0.29,25.52
92,29,,0.29,26.68
88,29,,0.29,25.52
87,29,,0.29,25.229999999999997
74,29,,0.29,21.459999999999997
75,27,FALSE,0.27,20.25
81,27,,0.27,21.87
85,27,,0.27,22.950000000000003
80,27,,0.27,21.6
90,27,,0.27,24.3
85,27,,0.27,22.950000000000003
74,27,,0.27,19.98
79,31,FALSE,0.31,24.49
88,31,,0.31,27.28
98,31,,0.31,30.38
100,31,,0.31,31
96,31,,0.31,29.759999999999998
89,31,,0.31,27.59
92,31,,0.31,28.52
91,33,FALSE,0.33,30.03
48,33,,0.33,15.84
51,33,,0.33,16.830000000000002
51,33,,0.33,16.830000000000002
49,33,,0.33,16.17
46,33,,0.33,15.180000000000001
42,33,,0.33,13.860000000000001
43,33,FALSE,0.33,14.190000000000001
46,33,,0.33,15.180000000000001
50,33,,0.33,16.5
51,33,,0.33,16.830000000000002
49,33,,0.33,16.17
49,33,,0.33,16.17
51,33,,0.33,16.830000000000002
53,41,FALSE,0.41,21.73
62,41,,0.41,25.419999999999998
63,41,,0.41,25.83
59,41,,0.41,24.189999999999998
61,41,,0.41,25.009999999999998
55,41,,0.41,22.549999999999997
72,41,,0.41,29.52
100,47,FALSE,0.47,47
79,47,,0.47,37.129999999999995
65,47,,0.47,30.549999999999997
60,47,,0.47,28.2
61,47,,0.47,28.669999999999998
57,47,,0.47,26.79
52,47,,0.47,24.439999999999998
55,41,FALSE,0.41,22.549999999999997
83,41,,0.41,34.03
83,41,,0.41,34.03
86,41,,0.41,35.26
88,41,,0.41,36.08
82,41,,0.41,33.62
82,41,,0.41,33.62
84,45,FALSE,0.45,37.800000000000004
85,45,,0.45,38.25
99,45,,0.45,44.550000000000004
100,45,,0.45,45
87,45,,0.45,39.15
85,45,,0.45,38.25
83,45,,0.45,37.35
90,42,FALSE,0.42,37.8
92,42,,0.42,38.64
90,42,,0.42,37.8
92,42,,0.42,38.64
89,42,,0.42,37.379999999999995
86,42,,0.42,36.12
77,42,,0.42,32.339999999999996
81,41,FALSE,0.41,33.21
85,41,,0.41,34.85
87,41,,0.41,35.669999999999995
87,41,,0.41,35.669999999999995
87,41,,0.41,35.669999999999995
78,41,,0.41,31.979999999999997
76,41,,0.41,31.159999999999997
82,42,FALSE,0.42,34.44
80,42,,0.42,33.6
83,42,,0.42,34.86
86,42,,0.42,36.12
84,42,,0.42,35.28
80,42,,0.42,33.6
67,42,,0.42,28.14
65,42,FALSE,0.42,27.3
83,42,,0.42,34.86
92,42,,0.42,38.64
91,42,,0.42,38.22
84,42,,0.42,35.28
73,42,,0.42,30.66
67,42,,0.42,28.14
76,42,FALSE,0.42,31.919999999999998
100,42,,0.42,42
74,42,,0.42,31.08
74,42,,0.42,31.08
75,42,,0.42,31.5
72,42,,0.42,30.24
66,42,,0.42,27.72
72,42,FALSE,0.42,30.24
77,42,,0.42,32.339999999999996
81,42,,0.42,34.019999999999996
77,42,,0.42,32.339999999999996
80,42,,0.42,33.6
77,42,,0.42,32.339999999999996
71,42,,0.42,29.82
74,42,FALSE,0.42,31.08
77,42,,0.42,32.339999999999996
79,42,,0.42,33.18
81,42,,0.42,34.019999999999996
84,42,,0.42,35.28
72,42,,0.42,30.24
61,42,,0.42,25.619999999999997
63,40,FALSE,0.4,25.200000000000003
64,40,,0.4,25.6
68,40,,0.4,27.200000000000003
68,40,,0.4,27.200000000000003
65,40,,0.4,26
63,40,,0.4,25.200000000000003
58,40,,0.4,23.200000000000003
56,44,FALSE,0.44,24.64
68,44,,0.44,29.92
75,44,,0.44,33
68,44,,0.44,29.92
71,44,,0.44,31.24
69,44,,0.44,30.36
61,44,,0.44,26.84
64,45,FALSE,0.45,28.8
75,45,,0.45,33.75
73,45,,0.45,32.85
